source_dataset,target_dataset,repetition,model,roc_auc_dcss15,roc_auc_stable,delta_dcss15_minus_stable
iscx_url2016_binary,phiusiil,r00,lr,0.3418648441597231,0.3852335320264513,-0.04336868786672815
iscx_url2016_binary,phiusiil,r00,rf,0.3975389861470879,0.4699758043294172,-0.07243681818232933
iscx_url2016_binary,phiusiil,r00,xgb,0.4995414562010513,0.4444669624352569,0.055074493765794375
iscx_url2016_binary,phiusiil,r01,lr,0.4383384431364049,0.3551193335595598,0.08321910957684509
iscx_url2016_binary,phiusiil,r01,rf,0.401667511928504,0.4140454202923554,-0.012377908363851442
iscx_url2016_binary,phiusiil,r01,xgb,0.4496645893554644,0.4846893011439649,-0.03502471178850053
iscx_url2016_binary,phiusiil,r02,lr,0.3368190696511998,0.3534404946806433,-0.016621425029443526
iscx_url2016_binary,phiusiil,r02,rf,0.3796601913329996,0.468475540426811,-0.08881534909381139
iscx_url2016_binary,phiusiil,r02,xgb,0.34626955001882,0.3607680644422795,-0.014498514423459508
iscx_url2016_binary,phiusiil,r03,lr,0.3401714525090029,0.3369442857721144,0.003227166736888498
iscx_url2016_binary,phiusiil,r03,rf,0.4381388840268201,0.4174749370156121,0.020663947011207995
iscx_url2016_binary,phiusiil,r03,xgb,0.4743958382591396,0.4372131906629751,0.03718264759616452
iscx_url2016_binary,phiusiil,r04,lr,0.3574399324730433,0.3572559797742808,0.00018395269876247955
iscx_url2016_binary,phiusiil,r04,rf,0.4219684975232419,0.4020986812177907,0.019869816305451204
iscx_url2016_binary,phiusiil,r04,xgb,0.4445649338992615,0.3218939782647847,0.12267095563447677
iscx_url2016_binary,phiusiil,r05,lr,0.3386591229939764,0.3689758392682758,-0.030316716274299438
iscx_url2016_binary,phiusiil,r05,rf,0.4108696898089113,0.419294155667811,-0.008424465858899666
iscx_url2016_binary,phiusiil,r05,xgb,0.4280139135605496,0.3890270204983219,0.03898689306222769
iscx_url2016_binary,phiusiil,r06,lr,0.3529733714674831,0.3501788682138677,0.00279450325361541
iscx_url2016_binary,phiusiil,r06,rf,0.3889782721065411,0.3851701813565447,0.00380809074999644
iscx_url2016_binary,phiusiil,r06,xgb,0.4893452553797124,0.4159986213020868,0.0733466340776256
iscx_url2016_binary,phiusiil,r07,lr,0.3431360816943468,0.3586031403104627,-0.015467058616115914
iscx_url2016_binary,phiusiil,r07,rf,0.4123973072854853,0.4284114611845449,-0.01601415389905958
iscx_url2016_binary,phiusiil,r07,xgb,0.3405875806637106,0.4658490393738073,-0.1252614587100967
iscx_url2016_binary,phiusiil,r08,lr,0.34182933956475,0.3743000335248424,-0.032470693960092445
iscx_url2016_binary,phiusiil,r08,rf,0.3969678817570743,0.4207018718242148,-0.023733990067140498
iscx_url2016_binary,phiusiil,r08,xgb,0.4742883516572957,0.3756163063214495,0.09867204533584623
iscx_url2016_binary,phiusiil,r09,lr,0.3414143283836769,0.3594104824393356,-0.017996154055658686
iscx_url2016_binary,phiusiil,r09,rf,0.4169668585815638,0.4265932046074928,-0.009626346025928989
iscx_url2016_binary,phiusiil,r09,xgb,0.4676593996896531,0.4908181744427887,-0.023158774753135603
phiusiil,iscx_url2016_binary,r00,lr,0.5742822775679601,0.5252822602906088,0.04900001727735137
phiusiil,iscx_url2016_binary,r00,rf,0.4542395220116617,0.4557086282690674,-0.0014691062574057057
phiusiil,iscx_url2016_binary,r00,xgb,0.0752128040454796,0.0987279004292596,-0.023515096383779993
phiusiil,iscx_url2016_binary,r01,lr,0.5653078190506652,0.5266105255769853,0.038697293473679895
phiusiil,iscx_url2016_binary,r01,rf,0.4974099377445478,0.4623917821318665,0.03501815561268129
phiusiil,iscx_url2016_binary,r01,xgb,0.0884677267243701,0.0882593377915369,0.00020838893283320337
phiusiil,iscx_url2016_binary,r02,lr,0.5569723638249364,0.5240751234953119,0.03289724032962449
phiusiil,iscx_url2016_binary,r02,rf,0.4663543959481945,0.460530130326933,0.005824265621261482
phiusiil,iscx_url2016_binary,r02,xgb,0.0873809165717452,0.0626044882448475,0.024776428326897693
phiusiil,iscx_url2016_binary,r03,lr,0.5687617100194833,0.5263542225693668,0.042407487450116466
phiusiil,iscx_url2016_binary,r03,rf,0.4596096678474191,0.4553603935358047,0.0042492743116143705
phiusiil,iscx_url2016_binary,r03,xgb,0.0934726204900278,0.0844683172510633,0.009004303238964506
phiusiil,iscx_url2016_binary,r04,lr,0.5660710476584687,0.5097503395949858,0.05632070806348288
phiusiil,iscx_url2016_binary,r04,rf,0.467616291438021,0.4526374464881723,0.014978844949848746
