source_dataset,target_dataset,repetition,model,cohort,comparison,metric,delta
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_single_minus_f_all,macro_f1,0.0014345010985656326
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_single_minus_f_all,roc_auc,0.0031245709898920504
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_single_minus_f_all,pr_auc,0.006415910046342732
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_single_minus_f_all,recall,0.006934757082785681
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_single_minus_f_all,fpr,5.937404908762378e-05
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_single_minus_f_all,balanced_accuracy,0.0034376915168490285
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_all,macro_f1,0.0014474848821153241
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_all,roc_auc,0.024218464646446558
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_all,pr_auc,0.002533345420114186
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_all,recall,0.006994972050219372
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_all,fpr,5.937404908762378e-05
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_all,balanced_accuracy,0.0034677990005658743
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_single,macro_f1,1.2983783549691541e-05
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_single,roc_auc,0.021093893656554508
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_single,pr_auc,-0.0038825646262285463
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_single,recall,6.021496743369159e-05
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r00,lr,primary_domain_filtered,f_stable_minus_f_single,balanced_accuracy,3.0107483716845795e-05
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_single_minus_f_all,macro_f1,0.0015577192384721994
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_single_minus_f_all,roc_auc,0.0028680360482716827
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_single_minus_f_all,pr_auc,0.006145735225442428
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_single_minus_f_all,recall,0.007479394515771176
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_single_minus_f_all,fpr,5.932561605959119e-05
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_single_minus_f_all,balanced_accuracy,0.0037100344498559035
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_all,macro_f1,0.001709830319625294
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_all,roc_auc,0.02361250272330756
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_all,pr_auc,0.0023169822482380087
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_all,recall,0.008182754794737734
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_all,fpr,5.932561605959119e-05
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_all,balanced_accuracy,0.004061714589339183
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_single,macro_f1,0.00015211108115309457
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_single,roc_auc,0.020744466675035877
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_single,pr_auc,-0.0038287529772044193
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_single,recall,0.0007033602789665583
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r00,lr,unfiltered,f_stable_minus_f_single,balanced_accuracy,0.00035168013948327914
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_single_minus_f_all,macro_f1,4.7091256467346465e-05
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_single_minus_f_all,roc_auc,0.0013027903644468042
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_single_minus_f_all,pr_auc,0.004193209874543469
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_single_minus_f_all,recall,0.00022078821392368386
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_single_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_single_minus_f_all,balanced_accuracy,0.00011039410696184193
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_all,macro_f1,0.0013012633352166292
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_all,roc_auc,0.11382865304187728
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_all,pr_auc,0.05799097923258917
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_all,recall,0.006111819194524415
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_all,fpr,0.0
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_all,balanced_accuracy,0.0030559095972622075
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_single,macro_f1,0.0012541720787492827
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_single,roc_auc,0.11252586267743048
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_single,pr_auc,0.0537977693580457
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_single,recall,0.005891030980600731
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_single,fpr,0.0
iscx_url2016_binary,phiusiil,r00,rf,primary_domain_filtered,f_stable_minus_f_single,balanced_accuracy,0.0029455154903003655
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_single_minus_f_all,macro_f1,4.660905114234337e-05
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_single_minus_f_all,roc_auc,0.0014839351666248168
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_single_minus_f_all,pr_auc,0.004313899956075673
iscx_url2016_binary,phiusiil,r00,rf,unfiltered,f_single_minus_f_all,recall,0.00021794262165164557
