dataset,model,feature_set,n_features_mean,n_features_std,macro_f1_mean,macro_f1_std,roc_auc_mean,fpr_mean,n_runs
ISCX-URL2016,LR,F-All,35.0,0.0,0.8660796838366135,0.12544391837875357,0.8968453902850184,0.1421963951152581,10
ISCX-URL2016,LR,F-MI,15.0,0.0,0.8667473284697476,0.13040770002620658,0.8897323105371517,0.14404280273901912,10
ISCX-URL2016,LR,F-Permutation,15.0,0.0,0.8020137833931459,0.14172474274741448,0.8910675366094882,0.18257280305680648,10
ISCX-URL2016,LR,F-Single,15.0,0.0,0.8351644804976204,0.10548834052049934,0.8913532475191722,0.1745077515619529,10
ISCX-URL2016,LR,F-Stable,12.3,0.8232726023485646,0.8215413992896694,0.09869421003667828,0.8887968050169313,0.18954443150429195,10
ISCX-URL2016,RF,F-All,35.0,0.0,0.9578460835233887,0.05856650321540844,0.9993981306056403,0.040825947576843276,10
ISCX-URL2016,RF,F-MI,15.0,0.0,0.9275952968321339,0.06928163195314796,0.9989979453421602,0.06771638695078255,10
ISCX-URL2016,RF,F-Permutation,15.0,0.0,0.9648320706043044,0.07654001533875997,0.9992272367438495,0.036224778427305274,10
ISCX-URL2016,RF,F-Single,15.0,0.0,0.9381451420304584,0.08169216826543907,0.9991221802514009,0.06258721478408447,10
ISCX-URL2016,RF,F-Stable,13.2,1.1352924243950935,0.9267686598110642,0.10250537712688294,0.9990967607406496,0.07769187252498584,10
ISCX-URL2016,XGBoost,F-All,35.0,0.0,0.8977674317615018,0.11670531306910349,0.999356207645936,0.11238921365264942,10
ISCX-URL2016,XGBoost,F-MI,15.0,0.0,0.8784089032476021,0.12297298948058763,0.9989513513079167,0.13254761455779746,10
ISCX-URL2016,XGBoost,F-Permutation,15.0,0.0,0.9051054896096247,0.1153298785243437,0.9992756920928395,0.10277201584009048,10
ISCX-URL2016,XGBoost,F-Single,15.0,0.0,0.9499951456239619,0.0825472178736987,0.9995002625198184,0.05195172543843105,10
ISCX-URL2016,XGBoost,F-Stable,13.5,1.0801234497346435,0.9317873632088596,0.10744652056877482,0.9992413693925342,0.07414670940976804,10
PhiUSIIL,LR,F-All,35.0,0.0,0.9856512181366608,0.0010180983541327852,0.9941745439723976,0.009802752521488491,10
PhiUSIIL,LR,F-MI,15.0,0.0,0.9759966493099894,0.0005709797548381308,0.9860404331253978,0.007959457445222801,10
PhiUSIIL,LR,F-Permutation,15.0,0.0,0.9778463279999162,0.0020206893777622663,0.986124323533877,0.01298752918964571,10
PhiUSIIL,LR,F-Single,15.0,0.0,0.9767276048068103,0.002020272948660075,0.9843889829113073,0.00713469468872654,10
PhiUSIIL,LR,F-Stable,13.8,0.42163702135578396,0.9769373025619444,0.0017290564756632966,0.9838911003621753,0.006603070502310279,10
PhiUSIIL,RF,F-All,35.0,0.0,0.990177164883805,0.0012087755864894564,0.9991366776070789,0.01020519699905595,10
PhiUSIIL,RF,F-MI,15.0,0.0,0.9699108264004597,0.00436254266107488,0.993348802358976,0.01232175684404031,10
PhiUSIIL,RF,F-Permutation,15.0,0.0,0.9906285979751293,0.0009878400278889885,0.9993378516552166,0.00908232722213937,10
PhiUSIIL,RF,F-Single,15.0,0.0,0.9900176297800984,0.0014739853607833582,0.9991831245020194,0.00955433000447156,10
PhiUSIIL,RF,F-Stable,14.3,0.48304589153964805,0.9903385251931344,0.0012228782027751425,0.9992018682584094,0.00973816266706409,10
PhiUSIIL,XGBoost,F-All,35.0,0.0,0.9935603706906747,0.0009569882679615365,0.9994806235500443,0.0036816217021910297,10
PhiUSIIL,XGBoost,F-MI,15.0,0.0,0.9796953759639584,0.0024084549798628336,0.9950539762078773,0.007512296914592301,10
PhiUSIIL,XGBoost,F-Permutation,15.0,0.0,0.993732868309231,0.0012635881704997182,0.9994592074007936,0.00404431857703578,10
PhiUSIIL,XGBoost,F-Single,15.0,0.0,0.9935311372395483,0.0010350929746114539,0.9995044415101079,0.00464053261787643,10
PhiUSIIL,XGBoost,F-Stable,14.3,0.4830458915396482,0.9933573694105313,0.0010366298417176522,0.999489945964201,0.0048293337308093,10
