estimand,dataset,scenario,model,metric,n_comparisons,mean,std,min,max
partition,iscx_url2016_binary,s0,lr,top10_jaccard,45,0.8794612794612797,0.09328593678867936,0.6666666666666666,1.0
partition,iscx_url2016_binary,s0,lr,top15_jaccard,45,0.8453159041394336,0.08196258838412095,0.6666666666666666,1.0
partition,iscx_url2016_binary,s0,lr,top20_jaccard,45,0.8391450739276827,0.06763515384919533,0.7391304347826086,1.0
partition,iscx_url2016_binary,s0,lr,rank_spearman,45,0.9449361967009027,0.024329577756983693,0.8829131652661065,0.9840336134453783
partition,iscx_url2016_binary,s0,lr,direction_agreement_all,45,0.8933333333333332,0.04409468644760727,0.8,0.9714285714285714
partition,iscx_url2016_binary,s0,lr,direction_agreement_top20_union,45,0.9861179078570382,0.024673392486887206,0.9130434782608695,1.0
partition,iscx_url2016_binary,s0,rf,top10_jaccard,45,0.8525252525252528,0.09286239457338834,0.6666666666666666,1.0
partition,iscx_url2016_binary,s0,rf,top15_jaccard,45,0.9083333333333333,0.055901699437494755,0.875,1.0
partition,iscx_url2016_binary,s0,rf,top20_jaccard,45,1.0,0.0,1.0,1.0
partition,iscx_url2016_binary,s0,rf,rank_spearman,45,0.9854715219421103,0.006869264091164654,0.9663865546218489,0.9974789915966387
partition,iscx_url2016_binary,s0,rf,direction_agreement_all,45,0.9276190476190472,0.028310496817534996,0.8857142857142857,1.0
partition,iscx_url2016_binary,s0,rf,direction_agreement_top20_union,45,0.9822222222222224,0.02420451581541318,0.95,1.0
partition,iscx_url2016_binary,s0,xgb,top10_jaccard,45,0.8962962962962965,0.10286181509576538,0.6666666666666666,1.0
partition,iscx_url2016_binary,s0,xgb,top15_jaccard,45,0.8315359477124183,0.06563246059657309,0.7647058823529411,1.0
partition,iscx_url2016_binary,s0,xgb,top20_jaccard,45,0.8701967919359225,0.07541833975143164,0.7391304347826086,1.0
partition,iscx_url2016_binary,s0,xgb,rank_spearman,45,0.9696997933585314,0.009349670000909407,0.9407974499942348,0.9864013209437295
partition,iscx_url2016_binary,s0,xgb,direction_agreement_all,45,0.8615873015873015,0.04871466867943899,0.7714285714285715,0.9428571428571428
partition,iscx_url2016_binary,s0,xgb,direction_agreement_top20_union,45,0.9341723654767132,0.04183401200622747,0.8571428571428571,1.0
partition,iscx_url2016_binary,s1,lr,top10_jaccard,45,0.8828282828282832,0.08801642114695693,0.8181818181818182,1.0
partition,iscx_url2016_binary,s1,lr,top15_jaccard,45,0.8576797385620915,0.07953662253679425,0.7647058823529411,1.0
partition,iscx_url2016_binary,s1,lr,top20_jaccard,45,0.8691176778133302,0.0602712553876891,0.7391304347826086,1.0
partition,iscx_url2016_binary,s1,lr,rank_spearman,45,0.9535334400517305,0.021768882672446848,0.8893557422969187,0.9873949579831932
