hypothesis,group_key,reference_margin,assumed_pairwise_correlation,effective_repetitions,mean_delta,correlation_adjusted_se,ci_low,ci_high,raw_p_one_sided,lower_bound_above_reference
H1_internal_noninferiority,iscx_url2016_binary/lr,-0.01,0.0,10.0,-0.038412037275161716,0.018685831655694974,-0.08068232519897797,0.0038582506486545404,0.9186474013910694,False
H1_internal_noninferiority,iscx_url2016_binary/lr,-0.01,0.1,5.2631578947368425,-0.038412037275161716,0.025756641451545027,-0.0966776082258391,0.01985353367551567,0.8506968410932073,False
H1_internal_noninferiority,iscx_url2016_binary/lr,-0.01,0.25,3.076923076923077,-0.038412037275161716,0.0336863620796482,-0.1146158825441346,0.037791807993811176,0.7895802900389632,False
H1_internal_noninferiority,iscx_url2016_binary/lr,-0.01,0.5,1.8181818181818181,-0.038412037275161716,0.043822159641639616,-0.1375446496002326,0.060720575049909166,0.7335248381838709,False
H1_internal_noninferiority,iscx_url2016_binary/lr,-0.01,0.75,1.2903225806451613,-0.038412037275161716,0.05201915379120979,-0.1560875386295559,0.07926346407923249,0.7008920678926391,False
H1_internal_noninferiority,iscx_url2016_binary/lr,-0.01,0.9,1.098901098901099,-0.038412037275161716,0.05636806518278987,-0.16592545968463657,0.08910138513431315,0.6868314788404385,False
H1_internal_noninferiority,iscx_url2016_binary/rf,-0.01,0.0,10.0,-0.027534789766671525,0.027578232152708677,-0.08992108516977468,0.034851505636431634,0.7296387249782665,False
H1_internal_noninferiority,iscx_url2016_binary/rf,-0.01,0.1,5.2631578947368425,-0.027534789766671525,0.038013969648939855,-0.11352836349653915,0.058458783963196106,0.6722258573505024,False
H1_internal_noninferiority,iscx_url2016_binary/rf,-0.01,0.25,3.076923076923077,-0.027534789766671525,0.04971736505662039,-0.14000328324773745,0.08493370371439439,0.6337799797670418,False
H1_internal_noninferiority,iscx_url2016_binary/rf,-0.01,0.5,1.8181818181818181,-0.027534789766671525,0.064676687358567,-0.17384362134452908,0.11877404181118602,0.6037906953852415,False
H1_internal_noninferiority,iscx_url2016_binary/rf,-0.01,0.75,1.2903225806451613,-0.027534789766671525,0.07677454908485223,-0.20121088590386366,0.14614130637052059,0.5877773001524957,False
H1_internal_noninferiority,iscx_url2016_binary/rf,-0.01,0.9,1.098901098901099,-0.027534789766671525,0.08319306393495265,-0.21573057524690373,0.16066099571356066,0.5811200739573924,False
H1_internal_noninferiority,iscx_url2016_binary/xgb,-0.01,0.0,10.0,0.08850478808276531,0.033237164779333125,0.013317097704234893,0.16369247846129573,0.007932023300611251,True
H1_internal_noninferiority,iscx_url2016_binary/xgb,-0.01,0.1,5.2631578947368425,0.08850478808276531,0.04581426996995839,-0.015134290890707516,0.19214386705623815,0.030013945299366226,False
H1_internal_noninferiority,iscx_url2016_binary/xgb,-0.01,0.25,3.076923076923077,0.08850478808276531,0.05991915093146567,-0.04704174838898563,0.22405132455451626,0.06729817433511853,False
H1_internal_noninferiority,iscx_url2016_binary/xgb,-0.01,0.5,1.8181818181818181,0.08850478808276531,0.07794806074641616,-0.08782597586532646,0.26483555203085707,0.11903977793376597,False
H1_internal_noninferiority,iscx_url2016_binary/xgb,-0.01,0.75,1.2903225806451613,0.08850478808276531,0.09252835078994008,-0.1208088834237744,0.29781845958930503,0.15739415460136535,False
H1_internal_noninferiority,iscx_url2016_binary/xgb,-0.01,0.9,1.098901098901099,0.08850478808276531,0.10026391681643869,-0.13830794951934905,0.3153175256848797,0.175773598679556,False
H1_internal_noninferiority,phiusiil/lr,-0.01,0.0,10.0,-0.007388733462017549,0.000583698956874345,-0.008709152238261315,-0.006068314685773783,0.0007732503388992952,True
H1_internal_noninferiority,phiusiil/lr,-0.01,0.1,5.2631578947368425,-0.007388733462017549,0.0008045734878100179,-0.009208805140509486,-0.0055686617835256115,0.0050345755962724935,True
H1_internal_noninferiority,phiusiil/lr,-0.01,0.25,3.076923076923077,-0.007388733462017549,0.0010522782592226473,-0.009769152263433703,-0.005008314660601395,0.0174516800404541,True
H1_internal_noninferiority,phiusiil/lr,-0.01,0.5,1.8181818181818181,-0.007388733462017549,0.001368895393157962,-0.01048538998084781,-0.004292076943187287,0.044402987957259145,False
H1_internal_noninferiority,phiusiil/lr,-0.01,0.75,1.2903225806451613,-0.007388733462017549,0.001624949125353018,-0.011064623765208382,-0.0037128431588267156,0.07126001222486554,False
H1_internal_noninferiority,phiusiil/lr,-0.01,0.9,1.098901098901099,-0.007388733462017549,0.0017607983125649017,-0.011371935977127653,-0.003405530946907445,0.08611133198816662,False
H1_internal_noninferiority,phiusiil/rf,-0.01,0.0,10.0,0.00014560788476389,0.0002746766763054462,-0.00047575392600943204,0.000766969695537212,1.9366538542603926e-11,True
H1_internal_noninferiority,phiusiil/rf,-0.01,0.1,5.2631578947368425,0.00014560788476389,0.0003786156697256376,-0.0007108802644747629,0.001002096034002543,3.3962024339991787e-10,True
H1_internal_noninferiority,phiusiil/rf,-0.01,0.25,3.076923076923077,0.00014560788476389,0.0004951804202966555,-0.0009745680499152925,0.0012657838194430726,3.6687300455570177e-09,True
H1_internal_noninferiority,phiusiil/rf,-0.01,0.5,1.8181818181818181,0.00014560788476389,0.0006441739056994919,-0.0013116147301379167,0.0016028304996656968,3.690042538086334e-08,True
H1_internal_noninferiority,phiusiil/rf,-0.01,0.75,1.2903225806451613,0.00014560788476389,0.0007646675048170305,-0.001584190188459727,0.0018754059579875072,1.6292026258972115e-07,True
H1_internal_noninferiority,phiusiil/rf,-0.01,0.9,1.098901098901099,0.00014560788476389,0.0008285953271691089,-0.0017288049696991454,0.0020200207392269253,3.2419251963627625e-07,True
H1_internal_noninferiority,phiusiil/xgb,-0.01,0.0,10.0,0.000267429817074578,0.00019538693641177308,-0.00017456614065743288,0.0007094257748065889,8.221738672850251e-13,True
H1_internal_noninferiority,phiusiil/xgb,-0.01,0.1,5.2631578947368425,0.000267429817074578,0.00026932230570214324,-0.0003418195658859068,0.0008766792000350627,1.45937738414375e-11,True
H1_internal_noninferiority,phiusiil/xgb,-0.01,0.25,3.076923076923077,0.000267429817074578,0.0003522388088942349,-0.0005293897275007117,0.0010642493616498678,1.6050868228778487e-10,True
H1_internal_noninferiority,phiusiil/xgb,-0.01,0.5,1.8181818181818181,0.000267429817074578,0.0004582229829046994,-0.0007691425858876594,0.0013040022200368152,1.6626754916661426e-09,True
H1_internal_noninferiority,phiusiil/xgb,-0.01,0.75,1.2903225806451613,0.000267429817074578,0.0005439342107580029,-0.0009630348539130295,0.0014978944880621853,7.555722060246445e-09,True
H1_internal_noninferiority,phiusiil/xgb,-0.01,0.9,1.098901098901099,0.000267429817074578,0.0005894082623915635,-0.0010659043055398858,0.0016007639396890417,1.5293026454792045e-08,True
H2_external_improvement,iscx_url2016_binary->phiusiil,0.0,0.0,10.0,-0.000863765705454966,0.009858954219497357,-0.023166269611341557,0.02143873820043163,0.53394838186887,False
H2_external_improvement,iscx_url2016_binary->phiusiil,0.0,0.1,5.2631578947368425,-0.000863765705454966,0.013589630560617717,-0.031605645818697306,0.02987811440778737,0.524645312671392,False
H2_external_improvement,iscx_url2016_binary->phiusiil,0.0,0.25,3.076923076923077,-0.000863765705454966,0.017773482480424888,-0.041070176407409974,0.03934264499650004,0.5188496948279361,False
H2_external_improvement,iscx_url2016_binary->phiusiil,0.0,0.5,1.8181818181818181,-0.000863765705454966,0.023121297123254052,-0.053167773607302,0.051440242196392066,0.5144924674741764,False
H2_external_improvement,iscx_url2016_binary->phiusiil,0.0,0.75,1.2903225806451613,-0.000863765705454966,0.02744616697904503,-0.06295130892999133,0.0612237775190814,0.5122097116079468,False
