direction,feature_set,n_false_positive_domains_mean,n_false_positive_domains_std,n_false_positive_domains_ci_low,n_false_positive_domains_ci_high,n_false_positive_domains_n,top10_domain_share_mean,top10_domain_share_std,top10_domain_share_ci_low,top10_domain_share_ci_high,top10_domain_share_n
ISCX -> PhiUSIIL,f_all,132065.76666666666,4.082623677484127,132064.3,132067.13333333333,30,0.004764832276817346,1.506378043417978e-07,0.004764780408963897,0.004764886503425153,30
ISCX -> PhiUSIIL,f_mi,132068.4,0.6746646676632053,132068.16666666666,132068.63333333333,30,0.00476473914965268,5.285926677420126e-08,0.004764719111325842,0.0047647556517115665,30
ISCX -> PhiUSIIL,f_permutation,132043.93333333332,114.94344436416914,132000.53333333333,132067.03333333333,30,0.004765153484759197,1.615794125403648e-06,0.004764786304711414,0.00476579824368691,30
ISCX -> PhiUSIIL,f_single,132068.2,1.3493293353264106,132067.66666666666,132068.6,30,0.0047647462225560355,6.862113166839596e-08,0.004764722647418832,0.004764770976449223,30
ISCX -> PhiUSIIL,f_stable,132068.4,0.6746646676632053,132068.16666666666,132068.66666666666,30,0.00476473914965268,5.285926677420126e-08,0.004764719111325842,0.004764755651886526,30
PhiUSIIL -> ISCX,f_all,280.8333333333333,2.018591747649376,280.1,281.53333333333336,30,0.25455283931047723,0.006795809825063165,0.25223724800161074,0.2569960234405747,30
PhiUSIIL -> ISCX,f_mi,281.5,1.7762804997502797,280.8333333333333,282.1,30,0.2500823191806944,0.0018004334122359608,0.2494275669623166,0.2506882104889678,30
PhiUSIIL -> ISCX,f_permutation,280.8,2.0744754218505626,280.03333333333336,281.5,30,0.2543954791637364,0.006629073120966932,0.2521513440971968,0.2568252624811516,30
PhiUSIIL -> ISCX,f_single,281.1,1.8818552841132148,280.43333333333334,281.73333333333335,30,0.2546446560198041,0.008391659623507993,0.25201184535995813,0.25782078933646696,30
PhiUSIIL -> ISCX,f_stable,281.3333333333333,1.8815498624956692,280.6666666666667,281.96666666666664,30,0.2523176392628989,0.003746287468160122,0.2510107307769614,0.25366536633998665,30
