source_dataset,target_dataset,feature,source_rho_mean,target_rho_mean,source_direction_deadzone,target_direction_deadzone,direction_flip_deadzone,absolute_rho_change,legacy_nonzero_flip_rate
iscx_url2016_binary,phiusiil,at_sign_count,-0.01946036538304498,0.09091874843503317,0,1,False,0.11037911381807815,1.0
iscx_url2016_binary,phiusiil,char_type_transition_count,-0.33461387352697136,0.48436472453239193,-1,1,True,0.8189785980593633,1.0
iscx_url2016_binary,phiusiil,digit_count,-0.23967815156449737,0.5384488728787146,-1,1,True,0.7781270244432119,1.0
iscx_url2016_binary,phiusiil,digit_ratio,-0.1990642704180247,0.534665384291706,-1,1,True,0.7337296547097307,1.0
iscx_url2016_binary,phiusiil,domain_digit_ratio,0.05451247499724039,0.14536000401298582,1,1,False,0.09084752901574543,0.0
iscx_url2016_binary,phiusiil,domain_hyphen_ratio,0.256861916185349,0.03833700500998858,1,1,False,0.2185249111753604,0.0
iscx_url2016_binary,phiusiil,dot_count,0.6109853273208447,0.07646044507786087,1,1,False,0.5345248822429838,0.0
iscx_url2016_binary,phiusiil,equals_sign_count,-0.0349278779759192,0.17354121768905595,-1,1,True,0.20846909566497515,1.0
iscx_url2016_binary,phiusiil,fragment_length,0.03823051578008093,0.06653077540020473,1,1,False,0.0283002596201238,0.0
iscx_url2016_binary,phiusiil,has_port,0.026643190130801502,0.009644717530648191,1,0,False,0.01699847260015331,0.0
iscx_url2016_binary,phiusiil,has_userinfo,,0.00762472087514735,0,0,False,,0.0
iscx_url2016_binary,phiusiil,host_is_ip,0.12568208458499483,0.05952943497680781,1,1,False,0.06615264960818702,0.0
iscx_url2016_binary,phiusiil,hostname_length,0.5286313506593752,0.21333189452911036,1,1,False,0.3152994561302648,0.0
iscx_url2016_binary,phiusiil,hyphen_count,-0.507189084973273,0.3660417039901554,-1,1,True,0.8732307889634283,1.0
iscx_url2016_binary,phiusiil,letter_count,-0.35334891586163286,0.2636085032915103,-1,1,True,0.6169574191531432,1.0
iscx_url2016_binary,phiusiil,letter_ratio,0.11004744513031377,-0.14644346138346298,1,-1,True,0.25649090651377676,1.0
iscx_url2016_binary,phiusiil,longest_repeated_char_run,0.5389114451121133,-0.6263903277022171,1,-1,True,1.1653017728143304,1.0
iscx_url2016_binary,phiusiil,path_length,-0.4620507262261128,0.4160161384465188,-1,1,True,0.8780668646726316,1.0
iscx_url2016_binary,phiusiil,path_segment_count,-0.06310065513127874,0.4160786653333931,-1,1,True,0.4791793204646718,1.0
iscx_url2016_binary,phiusiil,percent_sign_count,-0.1703687301546045,0.07058540571461784,-1,1,True,0.24095413586922232,1.0
iscx_url2016_binary,phiusiil,query_length,-0.02894813568238448,0.1832317993708073,-1,1,True,0.21217993505319177,1.0
iscx_url2016_binary,phiusiil,query_parameter_count,-0.045687532576665704,0.18320181326445906,-1,1,True,0.22888934584112475,1.0
iscx_url2016_binary,phiusiil,question_mark_count,-0.015540750192632052,0.18344504666604727,0,1,False,0.19898579685867931,1.0
iscx_url2016_binary,phiusiil,registrable_domain_length,0.21238882460104141,-0.22881803493226652,1,-1,True,0.44120685953330796,1.0
iscx_url2016_binary,phiusiil,slash_count,0.10553716394080319,0.3467720240933369,1,1,False,0.2412348601525337,0.0
iscx_url2016_binary,phiusiil,special_char_count,-0.43979928120848716,0.3850115261729071,-1,1,True,0.8248108073813942,1.0
iscx_url2016_binary,phiusiil,special_char_ratio,-0.037310514574493865,-0.24277757302066805,-1,-1,False,0.2054670584461742,0.0
iscx_url2016_binary,phiusiil,subdomain_depth,0.7957154147769631,0.0306838221187138,1,1,False,0.7650315926582493,0.0
iscx_url2016_binary,phiusiil,tld_length,-0.00992660031668233,-0.11027860847149074,0,-1,False,0.10035200815480841,0.1
iscx_url2016_binary,phiusiil,token_count,-0.4685417015623369,0.4210140968000148,-1,1,True,0.8895557983623517,1.0
iscx_url2016_binary,phiusiil,token_max_length,0.14950051030356945,0.10590405454986511,1,1,False,0.04359645575370434,0.0
iscx_url2016_binary,phiusiil,token_mean_length,0.14003255267770354,0.12117028329863692,1,1,False,0.018862269379066612,0.0
iscx_url2016_binary,phiusiil,underscore_count,-0.12520496535514877,0.13618316171395237,-1,1,True,0.26138812706910114,1.0
