source_dataset,target_dataset,feature_set,false_positives_mean,false_positive_domains_mean,top10_domain_share_mean,domain_hhi_mean,n_runs
ISCX-URL2016,PhiUSIIL,F-All,134737.16666666666,132065.76666666666,0.004764832276817347,1.1120712210246914e-05,30
ISCX-URL2016,PhiUSIIL,F-MI,134739.8,132068.4,0.0047647391496526805,1.1120422564273916e-05,30
ISCX-URL2016,PhiUSIIL,F-Permutation,134714.13333333333,132043.93333333332,0.004765153484759197,1.1122022042566838e-05,30
ISCX-URL2016,PhiUSIIL,F-Single,134739.6,132068.2,0.004764746222556037,1.1120444562263201e-05,30
ISCX-URL2016,PhiUSIIL,F-Stable,134739.8,132068.4,0.0047647391496526805,1.1120422564273916e-05,30
PhiUSIIL,ISCX-URL2016,F-All,32226.333333333332,280.8333333333333,0.25455283931047723,0.012595769320747022,30
PhiUSIIL,ISCX-URL2016,F-MI,32874.833333333336,281.5,0.25008231918069435,0.012282197753600043,30
PhiUSIIL,ISCX-URL2016,F-Permutation,32133.1,280.8,0.25439547916373634,0.012575318005738734,30
PhiUSIIL,ISCX-URL2016,F-Single,32198.633333333335,281.1,0.25464465601980407,0.012588943707542244,30
PhiUSIIL,ISCX-URL2016,F-Stable,32556.566666666666,281.3333333333333,0.2523176392628989,0.012440123959956929,30
