accuracy,balanced_accuracy,cohort,corpus_version,fn,fp,fpr,inference_seconds_all_target,inference_seconds_per_sample,macro_f1,model,model_seed,n_benign,n_phishing,n_samples,pr_auc,precision,recall,repetition,roc_auc,scenario,selected_candidate,selected_params_json,source_dataset,target_dataset,threshold,tn,tp,feature_set,n_features,feature_names_json,source_validation_threshold,brier_score,ece_15,inverted_roc_auc,log_loss,model_classes_json,persisted_roc_auc,persisted_pr_auc,roc_auc_persistence_difference,pr_auc_persistence_difference,threshold_prediction_mismatches_after_persistence,prediction_path
0.4012210835303052,0.4718691539213654,primary_domain_filtered,master,5612,134731,0.9999406259509124,0.1519057999998949,6.442337134685718e-07,0.2863833315622346,lr,20261001,134739,99643,234382,0.4558589634310394,0.4110429179671448,0.9436789337936432,r00,0.3610150673800047,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,8,94031,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.86,0.5829983942695895,0.5867040354370123,0.63902701510869,6.3953776316173885,,0.3609729848913101,0.4518904188663343,-4.208248869463915e-05,-0.003968544564705079,0,${EXPERIMENT_ROOT}\part4_baseline_models\predictions\s4\iscx_url2016_binary\r00\lr\s4_predictions.parquet
0.403646418680792,0.471424693716256,unfiltered,master,5775,134841,0.9999406743839404,0.1519057999998949,6.442337134685718e-07,0.2876164864850813,lr,20261001,134849,100944,235793,0.4609088343628031,0.4137602712925525,0.9427900618164526,r00,0.3621576059585482,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,8,95169,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.86,0.5800648728410825,0.5838592379564371,0.6378882382926843,6.364607546270844,,0.3621117617073156,0.456888537200298,-4.584425123255187e-05,-0.0040202971625051265,0,${EXPERIMENT_ROOT}\part4_baseline_models\predictions\s4\iscx_url2016_binary\r00\lr\s4_predictions.parquet
0.4001373825635074,0.47060506006443,primary_domain_filtered,,5858,134739,1.0,0.0460609000001568,1.9534464551601122e-07,0.2857843719813387,lr,20261001,134739,99643,234382,0.4447310162192814,0.410394531865362,0.94121012012886,r00,0.347370039346302,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.73,0,93785,f_dcss_10,10,"[""subdomain_depth"", ""token_count"", ""char_type_transition_count"", ""dot_count"", ""hyphen_count"", ""special_char_count"", ""registrable_domain_length"", ""slash_count"", ""url_length"", ""special_char_ratio""]",0.73,0.5876748084091135,0.5927012175551429,0.652629960653698,5.689659368991793,"[0, 1]",0.34737003934630206,0.4447310162192814,5.551115123125783e-17,0.0,0,${EXPERIMENT_ROOT}\part11_dcss_innovation\predictions\main_comparison\external\iscx_url2016_binary\r00\lr\f_dcss_10.parquet
0.4026243357521216,0.4702409256617531,unfiltered,,6008,134849,1.0,0.0460609000001568,1.9534464551601122e-07,0.2870507273326499,lr,20261001,134849,100944,235793,0.4497703684964528,0.4131514241573645,0.940481851323506,r00,0.3484238179273146,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.73,0,94936,f_dcss_10,10,"[""subdomain_depth"", ""token_count"", ""char_type_transition_count"", ""dot_count"", ""hyphen_count"", ""special_char_count"", ""registrable_domain_length"", ""slash_count"", ""url_length"", ""special_char_ratio""]",0.73,0.5847797786350052,0.5899153270358578,0.6515761820726853,5.662177668858501,"[0, 1]",0.34842381792731464,0.4497703684964528,5.551115123125783e-17,0.0,0,${EXPERIMENT_ROOT}\part11_dcss_innovation\predictions\main_comparison\external\iscx_url2016_binary\r00\lr\f_dcss_10.parquet
0.3953332593799865,0.4649392045229461,primary_domain_filtered,,6996,134727,0.9999109389263688,0.1066941000000003,4.524905319496353e-07,0.2833940882729421,lr,20261001,134739,99643,234382,0.4430335833455934,0.4074652334919559,0.929789347972261,r00,0.3418648441597231,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.84,12,92647,f_dcss_15,15,"[""subdomain_depth"", ""token_count"", ""char_type_transition_count"", ""dot_count"", ""hyphen_count"", ""special_char_count"", ""registrable_domain_length"", ""slash_count"", ""url_length"", ""percent_sign_count"", ""tld_length"", ""special_char_ratio"", ""letter_count"", ""digit_ratio"", ""equals_sign_count""]",0.84,0.5864265536792674,0.5910333401561866,0.6581351558402769,6.000598630170541,"[0, 1]",0.3418648441597231,0.4430335833455934,0.0,0.0,0,${EXPERIMENT_ROOT}\part11_dcss_innovation\predictions\main_comparison\external\iscx_url2016_binary\r00\lr\f_dcss_15.parquet
0.3977811046129444,0.4645693792968441,unfiltered,,7162,134837,0.9999110115759108,0.1066941000000003,4.524905319496353e-07,0.2846492048079346,lr,20261001,134849,100944,235793,0.4480385390674166,0.4102108748616694,0.929049770169599,r00,0.3429809421727213,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.84,12,93782,f_dcss_15,15,"[""subdomain_depth"", ""token_count"", ""char_type_transition_count"", ""dot_count"", ""hyphen_count"", ""special_char_count"", ""registrable_domain_length"", ""slash_count"", ""url_length"", ""percent_sign_count"", ""tld_length"", ""special_char_ratio"", ""letter_count"", ""digit_ratio"", ""equals_sign_count""]",0.84,0.5834954416083027,0.5881847662818755,0.6570190578272789,5.971411762894013,"[0, 1]",0.3429809421727213,0.44803853906741664,0.0,5.551115123125783e-17,0,${EXPERIMENT_ROOT}\part11_dcss_innovation\predictions\main_comparison\external\iscx_url2016_binary\r00\lr\f_dcss_15.parquet
0.4010376223430127,0.4716520765855096,primary_domain_filtered,,5656,134730,0.9999332041947766,0.0758864999997968,3.2183525380226213e-07,0.2862956758383702,lr,20261001,134739,99643,234382,0.4570826999948593,0.4109314130563097,0.9432373573657958,r00,0.3626546305709449,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.84,9,93987,f_dcss_20,20,"[""subdomain_depth"", ""token_count"", ""char_type_transition_count"", ""dot_count"", ""hyphen_count"", ""special_char_count"", ""registrable_domain_length"", ""slash_count"", ""percent_sign_count"", ""special_char_ratio"", ""url_length"", ""letter_count"", ""tld_length"", ""digit_ratio"", ""equals_sign_count"", ""domain_hyphen_ratio"", ""question_mark_count"", ""url_char_entropy"", ""query_length"", ""domain_digit_ratio""]",0.84,0.5843544561686747,0.5881716691903864,0.6373453694290551,6.2842572597797925,"[0, 1]",0.3626546305709449,0.45708269999485934,0.0,5.551115123125783e-17,0,${EXPERIMENT_ROOT}\part11_dcss_innovation\predictions\main_comparison\external\iscx_url2016_binary\r00\lr\f_dcss_20.parquet
0.4035446344887253,0.4713045705322304,unfiltered,,5800,134840,0.9999332586819332,0.0758864999997968,3.2183525380226213e-07,0.2875706329566211,lr,20261001,134849,100944,235793,0.4618739916799702,0.4136983442326423,0.942542399746394,r00,0.3635434531049019,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.84,9,95144,f_dcss_20,20,"[""subdomain_depth"", ""token_count"", ""char_type_transition_count"", ""dot_count"", ""hyphen_count"", ""special_char_count"", ""registrable_domain_length"", ""slash_count"", ""percent_sign_count"", ""special_char_ratio"", ""url_length"", ""letter_count"", ""tld_length"", ""digit_ratio"", ""equals_sign_count"", ""domain_hyphen_ratio"", ""question_mark_count"", ""url_char_entropy"", ""query_length"", ""domain_digit_ratio""]",0.84,0.5814072786503,0.5853031049153163,0.6364565468950981,6.253541848605171,"[0, 1]",0.3635434531049019,0.4618739916799702,0.0,0.0,0,${EXPERIMENT_ROOT}\part11_dcss_innovation\predictions\main_comparison\external\iscx_url2016_binary\r00\lr\f_dcss_20.parquet
0.3966942853973428,0.4665556035045111,primary_domain_filtered,,6665,134739,1.0,0.0939376000000002,3.983901133621451e-07,0.2840237047898338,lr,20261001,134739,99643,234382,0.5627574621441959,0.4083050452974525,0.9331112070090222,r00,0.5059027275663777,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,0,92978,f_mi,15,"[""url_length"", ""subdomain_depth"", ""token_count"", ""special_char_count"", ""path_length"", ""hostname_length"", ""dot_count"", ""char_type_transition_count"", ""hyphen_count"", ""token_mean_length"", ""special_char_ratio"", ""digit_ratio"", ""letter_ratio"", ""longest_repeated_char_run"", ""letter_count""]",0.86,0.5853427527721317,0.5901423607329023,0.49409727243362245,6.004765529345944,,0.5059027275663777,0.5627574621441959,0.0,0.0,0,${EXPERIMENT_ROOT}\part8_traditional_baselines_and_error_analysis\predictions\external\iscx_url2016_binary\r00\lr\f_mi.parquet
0.3991424681818374,0.46617431447139,unfiltered,,6829,134849,1.0,0.0939376000000002,3.983901133621451e-07,0.2852765013276429,lr,20261001,134849,100944,235793,0.5671809761871837,0.4110471515172691,0.93234862894278,r00,0.5071106593048528,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,0,94115,f_mi,15,"[""url_length"", ""subdomain_depth"", ""token_count"", ""special_char_count"", ""path_length"", ""hostname_length"", ""dot_count"", ""char_type_transition_count"", ""hyphen_count"", ""token_mean_length"", ""special_char_ratio"", ""digit_ratio"", ""letter_ratio"", ""longest_repeated_char_run"", ""letter_count""]",0.86,0.5823841472675065,0.5872660925687341,0.4928893406951472,5.975548045215585,,0.5071106593048528,0.5671809761871837,0.0,0.0,0,${EXPERIMENT_ROOT}\part8_traditional_baselines_and_error_analysis\predictions\external\iscx_url2016_binary\r00\lr\f_mi.parquet
