dataset,model,repetition,comparison,metric,delta
iscx_url2016_binary,lr,r00,f_single_minus_f_all,macro_f1,0.005257924148704962
iscx_url2016_binary,lr,r00,f_single_minus_f_all,recall,0.01609657947686116
iscx_url2016_binary,lr,r00,f_single_minus_f_all,fpr,2.4936649967166602e-17
iscx_url2016_binary,lr,r00,f_single_minus_f_all,roc_auc,0.0005084951679886762
iscx_url2016_binary,lr,r00,f_single_minus_f_all,pr_auc,0.0015829774159259458
iscx_url2016_binary,lr,r00,f_single_minus_f_all,balanced_accuracy,0.008048289738430414
iscx_url2016_binary,lr,r00,f_stable_minus_f_all,macro_f1,0.0038022152902732476
iscx_url2016_binary,lr,r00,f_stable_minus_f_all,recall,0.021462105969148215
iscx_url2016_binary,lr,r00,f_stable_minus_f_all,fpr,0.00278396436525615
iscx_url2016_binary,lr,r00,f_stable_minus_f_all,roc_auc,0.0007942980824814372
iscx_url2016_binary,lr,r00,f_stable_minus_f_all,pr_auc,0.002288716032118998
iscx_url2016_binary,lr,r00,f_stable_minus_f_all,balanced_accuracy,0.009339070801945848
iscx_url2016_binary,lr,r00,f_stable_minus_f_single,macro_f1,-0.0014557088584317146
iscx_url2016_binary,lr,r00,f_stable_minus_f_single,recall,0.005365526492287054
iscx_url2016_binary,lr,r00,f_stable_minus_f_single,fpr,0.0027839643652561247
iscx_url2016_binary,lr,r00,f_stable_minus_f_single,roc_auc,0.00028580291449276096
iscx_url2016_binary,lr,r00,f_stable_minus_f_single,pr_auc,0.0007057386161930523
iscx_url2016_binary,lr,r00,f_stable_minus_f_single,balanced_accuracy,0.0012907810635154338
iscx_url2016_binary,lr,r01,f_single_minus_f_all,macro_f1,-0.0017645843777136516
iscx_url2016_binary,lr,r01,f_single_minus_f_all,recall,-0.010702341137123872
iscx_url2016_binary,lr,r01,f_single_minus_f_all,fpr,-0.001885725061286092
iscx_url2016_binary,lr,r01,f_single_minus_f_all,roc_auc,-0.009858494939130269
