direction,feature_set,macro_f1_mean,macro_f1_std,macro_f1_ci_low,macro_f1_ci_high,macro_f1_n,fpr_mean,fpr_std,fpr_ci_low,fpr_ci_high,fpr_n
ISCX -> PhiUSIIL,f_all,0.2922413123258916,0.0033693564871063978,0.29105023676804526,0.2933628155393504,30,0.9999804561615174,2.971775416814321e-05,0.999969570926483,0.9999903517501184,30
ISCX -> PhiUSIIL,f_mi,0.29075652326922824,0.0023313809214950375,0.28989260417864404,0.2915292947536206,30,1.0,0.0,1.0,1.0,30
ISCX -> PhiUSIIL,f_permutation,0.2913226474675039,0.0051821480612359505,0.2893853919013673,0.29299318841858213,30,0.9998095095572767,0.0009025003504893498,0.9994671217780307,0.9999893621991109,30
ISCX -> PhiUSIIL,f_single,0.2914710470873685,0.0038165930097836293,0.29009563665443516,0.29275492616332743,30,0.9999985156487728,8.130126503912441e-06,0.9999955469463184,1.0,30
ISCX -> PhiUSIIL,f_stable,0.29106554061195156,0.004523327213379252,0.28942826474063743,0.2926117809000873,30,1.0,0.0,1.0,1.0,30
PhiUSIIL -> ISCX,f_all,0.19131380711779766,0.030304747108055845,0.18101160655287585,0.20232634394688642,30,0.980259736883286,0.028717241319354093,0.9698646036617928,0.9900550261438075,30
PhiUSIIL -> ISCX,f_mi,0.17029606232821218,0.0007927668355346141,0.17002654831310685,0.17058283406409003,30,0.9999888361309962,1.4923653582486606e-05,0.9999837310041744,0.9999939123992129,30
PhiUSIIL -> ISCX,f_permutation,0.19371139434349585,0.03581604149395879,0.18181056944720486,0.20671330050974893,30,0.9774598650127209,0.034794177034268105,0.9646976271077308,0.9890628891489345,30
PhiUSIIL -> ISCX,f_single,0.1917438829632852,0.03782993222861817,0.17953362032687178,0.2060350737136499,30,0.979444880552179,0.03739334364661013,0.9653369407706456,0.9913921642629171,30
PhiUSIIL -> ISCX,f_stable,0.1809531673618137,0.015542126217532677,0.17574215103548757,0.18657173766371615,30,0.9903099339629018,0.01438870854770819,0.9851470791419391,0.9951479655809479,30
