accuracy,balanced_accuracy,cohort,corpus_version,fn,fp,fpr,inference_seconds_all_target,inference_seconds_per_sample,macro_f1,model,model_seed,n_benign,n_phishing,n_samples,pr_auc,precision,recall,repetition,roc_auc,scenario,selected_candidate,selected_params_json,source_dataset,target_dataset,threshold,tn,tp
0.4012210835303052,0.4718691539213654,primary_domain_filtered,master,5612,134731,0.9999406259509125,0.15190579999989495,6.442337134685718e-07,0.2863833315622346,lr,20261001,134739,99643,234382,0.45585896343103943,0.41104291796714487,0.9436789337936433,r00,0.3610150673800047,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,8,94031
0.40364641868079204,0.47142469371625606,unfiltered,master,5775,134841,0.9999406743839405,0.15190579999989495,6.442337134685718e-07,0.28761648648508137,lr,20261001,134849,100944,235793,0.46090883436280317,0.4137602712925525,0.9427900618164526,r00,0.3621576059585482,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,8,95169
0.41177223506924593,0.4842889114137471,primary_domain_filtered,master,3131,134739,1.0,0.727852299999995,3.0868274291433376e-06,0.2916704443114713,rf,20261001,134739,99643,234382,0.35326484523464863,0.4173473844437429,0.9685778228274942,r00,0.35614715128754004,S4-external,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.73,0,96512
0.41480451073611174,0.4844666349659217,unfiltered,master,3136,134849,1.0,0.727852299999995,3.0868274291433376e-06,0.2931885695786284,rf,20261001,134849,100944,235793,0.35530843321244376,0.4203956897922693,0.9689332699318434,r00,0.35458750022557717,S4-external,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.73,0,97808
0.4181037793004582,0.4917354957197194,primary_domain_filtered,master,1647,134739,1.0,0.14928139999983614,6.33103612065821e-07,0.29483299135321833,xgb,20261001,134739,99643,234382,0.39722834662163,0.4210625819064601,0.9834709914394388,r00,0.3849590340076806,S4-external,xgb_d6_lr01_balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.537326264507809, ""subsample"": 0.9}",iscx_url2016_binary,phiusiil,0.91,0,97996
0.4210981666122404,0.4918172452052623,unfiltered,master,1652,134849,1.0,0.14928139999983614,6.33103612065821e-07,0.29631884447229806,xgb,20261001,134849,100944,235793,0.3990996856551122,0.42406925741326806,0.9836344904105246,r00,0.38339436724815024,S4-external,xgb_d6_lr01_balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.537326264507809, ""subsample"": 0.9}",iscx_url2016_binary,phiusiil,0.91,0,99292
0.40656933680817503,0.48119540524683635,primary_domain_filtered,master,3711,134734,0.9999554697936767,0.1743071000000782,7.392378060420717e-07,0.2890859544072465,lr,20261002,134740,98556,233296,0.5052404781822695,0.4131257649872157,0.9623462802873494,r01,0.43213492798154673,S4-external,lr_c01,"{""C"": 0.1, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.66,6,94845
0.4105083696292935,0.4794415290841488,unfiltered,master,4155,134843,0.9999555057879554,0.1743071000000782,7.392378060420717e-07,0.29107137846941505,lr,20261002,134849,100944,235793,0.5105736606231761,0.4178567728120467,0.958838563956253,r01,0.43031769814785437,S4-external,lr_c01,"{""C"": 0.1, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.66,6,96789
0.4154078938344421,0.4916646373635294,primary_domain_filtered,master,1643,134740,1.0,0.6012359000001197,2.549846263460407e-06,0.29348988065134507,rf,20261002,134740,98556,233296,0.34044919180953853,0.41835417628953653,0.9833292747270588,r01,0.32937547241842685,S4-external,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.56,0,96913
0.42109392560423764,0.49181229196386117,unfiltered,master,1653,134849,1.0,0.6012359000001197,2.549846263460407e-06,0.296316744458106,rf,20261002,134849,100944,235793,0.34412094624034967,0.42406679764243616,0.9836245839277223,r01,0.32590111837854613,S4-external,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.56,0,99291
