source_dataset,target_dataset,model,feature_set,macro_f1_mean,macro_f1_std,roc_auc_mean,pr_auc_mean,recall_mean,fpr_mean,n_runs
ISCX-URL2016,PhiUSIIL,LR,F-All,0.2877618967364306,0.0013380524461420792,0.3991783451815981,0.4818097346306252,0.9530184426732102,0.9999413684845522,10
ISCX-URL2016,PhiUSIIL,LR,F-MI,0.28861363285167607,0.0024051627581465245,0.507708211756298,0.5652737695248835,0.9573007305418407,1.0,10
ISCX-URL2016,PhiUSIIL,LR,F-Permutation,0.2852247112918163,0.004800687056135742,0.4257277940778203,0.5035460399166508,0.9389984528209616,0.9994285286718301,10
ISCX-URL2016,PhiUSIIL,LR,F-Single,0.2868538787787934,0.0026937799199513108,0.3626014529696774,0.4584603443861724,0.9490657047902632,0.9999955469463184,10
ISCX-URL2016,PhiUSIIL,LR,F-Stable,0.28583704850341174,0.003937465500941475,0.3599461989569834,0.44954329204885674,0.9444039731191143,1.0,10
ISCX-URL2016,PhiUSIIL,RF,F-All,0.2941129449629723,0.0010002730296528612,0.38816816935081383,0.37024677165884523,0.9831046513835491,1.0,10
ISCX-URL2016,PhiUSIIL,RF,F-MI,0.2910064673197232,0.0014088559523529798,0.4002567362616376,0.3755851673415288,0.9684787339672717,1.0,10
ISCX-URL2016,PhiUSIIL,RF,F-Permutation,0.29407104844225956,0.0006036532541446373,0.41596241852952776,0.38380447794403866,0.9828950321996208,1.0,10
ISCX-URL2016,PhiUSIIL,RF,F-Single,0.29258808896063,0.0007769660501125964,0.3973060477179748,0.3746243592603074,0.975895164278311,1.0,10
ISCX-URL2016,PhiUSIIL,RF,F-Stable,0.2923271969882225,0.0006923435203125217,0.4252241257922595,0.38718493043799695,0.9746627779790884,1.0,10
ISCX-URL2016,PhiUSIIL,XGBoost,F-All,0.2948490952782718,0.00021574415313465486,0.4121257782944034,0.42267846765678085,0.9865841197556954,1.0,10
ISCX-URL2016,PhiUSIIL,XGBoost,F-MI,0.2926494696362857,0.0007688846870352304,0.298475359831032,0.3412536401952318,0.9761924133329731,1.0,10
ISCX-URL2016,PhiUSIIL,XGBoost,F-Permutation,0.294672182668436,0.0009722231304291155,0.5054134396814771,0.5073766524878943,0.9857524034617272,1.0,10
ISCX-URL2016,PhiUSIIL,XGBoost,F-Single,0.294971173522682,0.0006249299846123252,0.41429652959835506,0.42981239477179783,0.9871619061450181,1.0,10
ISCX-URL2016,PhiUSIIL,XGBoost,F-Stable,0.2950323763442204,0.0005637664540170695,0.41863406588877156,0.4347421906817511,0.987448620283244,1.0,10
PhiUSIIL,ISCX-URL2016,LR,F-All,0.23299148693366428,0.007926405110850973,0.5506175940643595,0.22387898904311232,0.9973465015989751,0.9407792106498583,10
PhiUSIIL,ISCX-URL2016,LR,F-MI,0.17028193864357113,0.0008172704197864003,0.46682076558245883,0.1950647453084322,0.9973691010246192,0.9999695804008535,10
PhiUSIIL,ISCX-URL2016,LR,F-Permutation,0.2405448249417305,0.021819473036636724,0.554781097966292,0.22569170646892772,0.9937426331568988,0.9323795950381625,10
PhiUSIIL,ISCX-URL2016,LR,F-Single,0.23423151026129396,0.04001654794718036,0.5442843861955093,0.22164818133969716,0.9964790572676886,0.93834685494065,10
PhiUSIIL,ISCX-URL2016,LR,F-Stable,0.20185928177283494,0.006972155785448013,0.5237343415692243,0.21386433988689962,0.9980147467009577,0.9709389638805959,10
PhiUSIIL,ISCX-URL2016,RF,F-All,0.1704293735602755,0.0008204602666917921,0.4529795261055683,0.1906982027185134,0.9986489820296217,1.0,10
PhiUSIIL,ISCX-URL2016,RF,F-MI,0.17027662434801732,0.0008272365279232636,0.4830819449762648,0.20027126213573335,0.9975461543878433,0.9999969279921357,10
PhiUSIIL,ISCX-URL2016,RF,F-Permutation,0.17007851428947782,0.0009900780251455876,0.44092931251020345,0.18718464581520317,0.9961768678133772,1.0,10
PhiUSIIL,ISCX-URL2016,RF,F-Single,0.17043789079853922,0.0008258261600597258,0.4704209955272227,0.19619359107194828,0.9986129683801579,0.9999877867158868,10
PhiUSIIL,ISCX-URL2016,RF,F-Stable,0.1704345474299006,0.0008241220107123761,0.45997198268807765,0.1928760028985816,0.9986133925255103,0.9999908380081092,10
PhiUSIIL,ISCX-URL2016,XGBoost,F-All,0.17052056085945325,0.0008142648908589289,0.07636791698545238,0.11513152768575723,0.9992934036659525,1.0,10
PhiUSIIL,ISCX-URL2016,XGBoost,F-MI,0.17032962399304807,0.0008191188023726446,0.25551682248293833,0.17682382906067445,0.9979445115237191,1.0,10
PhiUSIIL,ISCX-URL2016,XGBoost,F-Permutation,0.17051084379927917,0.0008000853954876079,0.07745741267541753,0.11528647524353175,0.9992250766780598,1.0,10
PhiUSIIL,ISCX-URL2016,XGBoost,F-Single,0.17056224783002244,0.0008096699985490084,0.0744902390359985,0.11508595238205568,0.9995880108983579,1.0,10
PhiUSIIL,ISCX-URL2016,XGBoost,F-Stable,0.17056567288270533,0.0007811293178858562,0.07758085608768164,0.11549419199593047,0.9996128865936603,1.0,10
