accuracy,balanced_accuracy,cohort,corpus_version,fn,fp,fpr,inference_seconds_all_target,inference_seconds_per_sample,macro_f1,model,model_seed,n_benign,n_phishing,n_samples,pr_auc,precision,recall,repetition,roc_auc,scenario,selected_candidate,selected_params_json,source_dataset,target_dataset,threshold,tn,tp,feature_set,n_features,feature_names_json,source_validation_threshold
0.4012210835303052,0.4718691539213654,primary_domain_filtered,master,5612,134731,0.9999406259509124,0.1519057999998949,6.442337134685718e-07,0.2863833315622346,lr,20261001,134739,99643,234382,0.4558589634310394,0.4110429179671448,0.9436789337936432,r00,0.3610150673800047,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,8,94031,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.86
0.403646418680792,0.471424693716256,unfiltered,master,5775,134841,0.9999406743839404,0.1519057999998949,6.442337134685718e-07,0.2876164864850813,lr,20261001,134849,100944,235793,0.4609088343628031,0.4137602712925525,0.9427900618164526,r00,0.3621576059585482,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,8,95169,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.86
0.3966942853973428,0.4665556035045111,primary_domain_filtered,,6665,134739,1.0,0.09393760000000029,3.983901133621451e-07,0.2840237047898338,lr,20261001,134739,99643,234382,0.5627574621441959,0.40830504529745254,0.9331112070090222,r00,0.5059027275663777,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,0,92978,f_mi,15,"[""url_length"", ""subdomain_depth"", ""token_count"", ""special_char_count"", ""path_length"", ""hostname_length"", ""dot_count"", ""char_type_transition_count"", ""hyphen_count"", ""token_mean_length"", ""special_char_ratio"", ""digit_ratio"", ""letter_ratio"", ""longest_repeated_char_run"", ""letter_count""]",0.86
0.39914246818183746,0.46617431447139007,unfiltered,,6829,134849,1.0,0.09393760000000029,3.983901133621451e-07,0.2852765013276429,lr,20261001,134849,100944,235793,0.5671809761871837,0.4110471515172691,0.9323486289427801,r00,0.5071106593048528,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.86,0,94115,f_mi,15,"[""url_length"", ""subdomain_depth"", ""token_count"", ""special_char_count"", ""path_length"", ""hostname_length"", ""dot_count"", ""char_type_transition_count"", ""hyphen_count"", ""token_mean_length"", ""special_char_ratio"", ""digit_ratio"", ""letter_ratio"", ""longest_repeated_char_run"", ""letter_count""]",0.86
0.3991560785384543,0.46943917653231976,primary_domain_filtered,,6097,134730,0.9999332041947766,0.04170169999997597,1.7685724342951645e-07,0.28533556773037555,lr,20261001,134739,99643,234382,0.45536532964406584,0.4097934079798139,0.9388115572594161,r00,0.35903445858122557,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.8,9,93546,f_permutation,15,"[""subdomain_depth"", ""dot_count"", ""token_count"", ""char_type_transition_count"", ""slash_count"", ""hyphen_count"", ""special_char_ratio"", ""tld_length"", ""registrable_domain_length"", ""query_length"", ""equals_sign_count"", ""special_char_count"", ""letter_count"", ""url_length"", ""question_mark_count""]",0.8
0.40182702624759853,0.4692985077647554,unfiltered,,6205,134840,0.9999332586819332,0.04170169999997597,1.7685724342951645e-07,0.28669740922889375,lr,20261001,134849,100944,235793,0.4602152226133408,0.41266405028334474,0.938530274211444,r00,0.3599650884685198,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.8,9,94739,f_permutation,15,"[""subdomain_depth"", ""dot_count"", ""token_count"", ""char_type_transition_count"", ""slash_count"", ""hyphen_count"", ""special_char_ratio"", ""tld_length"", ""registrable_domain_length"", ""query_length"", ""equals_sign_count"", ""special_char_count"", ""letter_count"", ""url_length"", ""question_mark_count""]",0.8
0.404135129830789,0.4753068454382144,primary_domain_filtered,master,4921,134739,1.0,0.0580395999999971,2.4614640807826014e-07,0.2878178326608002,lr,20261001,134739,99643,234382,0.4622748734773821,0.4128021755330971,0.9506136908764288,r00,0.3641396383698967,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.76,0,94722,f_single,15,"[""subdomain_depth"", ""token_count"", ""dot_count"", ""registrable_domain_length"", ""hyphen_count"", ""char_type_transition_count"", ""special_char_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""special_char_ratio"", ""query_length"", ""letter_count"", ""domain_hyphen_ratio"", ""path_length""]",0.76
0.4068144516588702,0.4751347281661119,unfiltered,master,5020,134849,1.0,0.0580395999999971,2.4614640807826014e-07,0.2891742057235535,lr,20261001,134849,100944,235793,0.4670545695882455,0.415663877490001,0.9502694563322238,r00,0.3650256420068198,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.76,0,95924,f_single,15,"[""subdomain_depth"", ""token_count"", ""dot_count"", ""registrable_domain_length"", ""hyphen_count"", ""char_type_transition_count"", ""special_char_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""special_char_ratio"", ""query_length"", ""letter_count"", ""domain_hyphen_ratio"", ""path_length""]",0.76
0.4041607290662252,0.4753369529219313,primary_domain_filtered,master,4915,134739,1.0,0.0472686000000024,2.0046651088031638e-07,0.2878308164443499,lr,20261001,134739,99643,234382,0.4583923088511535,0.4128175293179411,0.9506739058438626,r00,0.3852335320264513,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.67,0,94728,f_stable,11,"[""subdomain_depth"", ""token_count"", ""dot_count"", ""registrable_domain_length"", ""char_type_transition_count"", ""special_char_count"", ""hyphen_count"", ""slash_count"", ""equals_sign_count"", ""special_char_ratio"", ""question_mark_count""]",0.67
0.4071155632270678,0.4754864083055952,unfiltered,master,4949,134849,1.0,0.0472686000000024,2.0046651088031638e-07,0.2893263168047066,lr,20261001,134849,100944,235793,0.4632258166110411,0.4158436000069311,0.9509728166111904,r00,0.3857701086818557,S4-external,lr_c1,"{""C"": 1.0, ""class_weight"": null}",iscx_url2016_binary,phiusiil,0.67,0,95995,f_stable,11,"[""subdomain_depth"", ""token_count"", ""dot_count"", ""registrable_domain_length"", ""char_type_transition_count"", ""special_char_count"", ""hyphen_count"", ""slash_count"", ""equals_sign_count"", ""special_char_ratio"", ""question_mark_count""]",0.67
0.4117722350692459,0.4842889114137471,primary_domain_filtered,master,3131,134739,1.0,0.727852299999995,3.0868274291433376e-06,0.2916704443114713,rf,20261001,134739,99643,234382,0.3532648452346486,0.4173473844437429,0.9685778228274942,r00,0.35614715128754,S4-external,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.73,0,96512,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.73
0.4148045107361117,0.4844666349659217,unfiltered,master,3136,134849,1.0,0.727852299999995,3.0868274291433376e-06,0.2931885695786284,rf,20261001,134849,100944,235793,0.3553084332124437,0.4203956897922693,0.9689332699318434,r00,0.3545875002255771,S4-external,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.73,0,97808,f_all,35,"[""url_length"", ""hostname_length"", ""path_length"", ""query_length"", ""fragment_length"", ""digit_count"", ""letter_count"", ""special_char_count"", ""digit_ratio"", ""letter_ratio"", ""special_char_ratio"", ""dot_count"", ""hyphen_count"", ""underscore_count"", ""slash_count"", ""question_mark_count"", ""equals_sign_count"", ""percent_sign_count"", ""at_sign_count"", ""subdomain_depth"", ""path_segment_count"", ""query_parameter_count"", ""has_port"", ""has_userinfo"", ""host_is_ip"", ""tld_length"", ""registrable_domain_length"", ""domain_digit_ratio"", ""domain_hyphen_ratio"", ""url_char_entropy"", ""longest_repeated_char_run"", ""char_type_transition_count"", ""token_count"", ""token_mean_length"", ""token_max_length""]",0.73
0.4075739604577143,0.47935128408418054,primary_domain_filtered,,4115,134739,1.0,0.3955881000001682,1.6776922979060796e-06,0.2895577581764724,rf,20261001,134739,99643,234382,0.38958607712024385,0.4148575349485597,0.9587025681683611,r00,0.4259230214555309,S4-external,rf_depth16_leaf1,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.82,0,95528,f_mi,15,"[""url_length"", ""subdomain_depth"", ""token_count"", ""special_char_count"", ""path_length"", ""hostname_length"", ""dot_count"", ""char_type_transition_count"", ""hyphen_count"", ""token_mean_length"", ""special_char_ratio"", ""digit_ratio"", ""letter_ratio"", ""longest_repeated_char_run"", ""letter_count""]",0.82
0.410440513501249,0.47936974956411477,unfiltered,,4165,134849,1.0,0.3955881000001682,1.6776922979060796e-06,0.2910016477634918,rf,20261001,134849,100944,235793,0.3919965960275079,0.4178208161362184,0.9587394991282295,r00,0.42489178963905266,S4-external,rf_depth16_leaf1,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.82,0,96779,f_mi,15,"[""url_length"", ""subdomain_depth"", ""token_count"", ""special_char_count"", ""path_length"", ""hostname_length"", ""dot_count"", ""char_type_transition_count"", ""hyphen_count"", ""token_mean_length"", ""special_char_ratio"", ""digit_ratio"", ""letter_ratio"", ""longest_repeated_char_run"", ""letter_count""]",0.82
0.4172334052956285,0.49071184127334583,primary_domain_filtered,,1851,134739,1.0,0.44151259999989634,1.8724584699286931e-06,0.2943999229319573,rf,20261001,134739,99643,234382,0.3805116859807679,0.42055467873100794,0.9814236825466917,r00,0.4086753047501885,S4-external,rf_unlimited_leaf5_balanced,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",iscx_url2016_binary,phiusiil,0.62,0,97792,f_permutation,15,"[""url_length"", ""subdomain_depth"", ""dot_count"", ""hostname_length"", ""path_length"", ""hyphen_count"", ""token_max_length"", ""slash_count"", ""longest_repeated_char_run"", ""tld_length"", ""question_mark_count"", ""domain_digit_ratio"", ""host_is_ip"", ""path_segment_count"", ""token_count""]",0.62
