source_dataset,target_dataset,model,fpr_budget,evaluation_scope,repetitions,threshold_mean,threshold_min,threshold_max,tpr_mean,tpr_sd,fpr_mean,fpr_sd,alerts_per_10000_mean,alerts_per_10000_sd,roc_auc_mean,pr_auc_mean
iscx_url2016_binary,phiusiil,lr,0.001,external_primary,10,0.8321162854346775,0.6579296489532488,0.9999991878693192,0.5654040239160698,0.41735533624871207,0.531848636561332,0.49353165162221485,5318.486365613319,4935.3165162221485,0.39917834518159817,0.4818097346306252
iscx_url2016_binary,phiusiil,lr,0.001,source_s3_test,10,0.8321162854346775,0.6579296489532488,0.9999991878693192,0.6841925129371547,0.3166323113870647,0.1408259475768433,0.1484442640485234,1408.259475768433,1484.442640485234,0.8968453902850184,0.7460295166170632
iscx_url2016_binary,phiusiil,lr,0.001,source_validation,10,0.8321162854346775,0.6579296489532488,0.9999991878693192,0.5475221002716409,0.44834731841886594,0.0009354253261975368,7.839501824031648e-06,9.35425326197537,0.07839501824031682,0.9012496442034099,0.7551809136220781
iscx_url2016_binary,phiusiil,lr,0.01,external_primary,10,0.807149835582155,0.6082627802737893,0.9999645053061833,0.7295008431001643,0.24898602777261516,0.9068428837671675,0.11414144016416206,9068.428837671676,1141.4144016416205,0.39917834518159817,0.4818097346306252
iscx_url2016_binary,phiusiil,lr,0.01,source_s3_test,10,0.807149835582155,0.6082627802737893,0.9999645053061833,0.7066579633879082,0.29509061257695957,0.14163680935319628,0.14929884589447937,1416.368093531963,1492.9884589447938,0.8968453902850184,0.7460295166170632
iscx_url2016_binary,phiusiil,lr,0.01,source_validation,10,0.807149835582155,0.6082627802737893,0.9999645053061833,0.5715419383637388,0.4281033482632218,0.00985982917038877,0.00015715350106450693,98.59829170388768,1.5715350106450714,0.9012496442034099,0.7551809136220781
iscx_url2016_binary,phiusiil,rf,0.001,external_primary,10,0.5124602662806481,0.3718928571428572,0.6994381997733801,0.9856496977380023,0.005627271542690299,1.0,0.0,10000.0,0.0,0.38816791324625954,0.37024698567070985
iscx_url2016_binary,phiusiil,rf,0.001,source_s3_test,10,0.5124602662806481,0.3718928571428572,0.6994381997733801,0.9969185906969129,0.0022397254590058382,0.07852129406377391,0.09765530485665852,785.212940637739,976.5530485665853,0.9993981306056405,0.9989205485267199
iscx_url2016_binary,phiusiil,rf,0.001,source_validation,10,0.5124602662806481,0.3718928571428572,0.6994381997733801,0.9971874053686669,0.001082478812203914,0.0009354253261975368,7.839501824031648e-06,9.35425326197537,0.07839501824031682,0.9996441731841615,0.999306292340064
iscx_url2016_binary,phiusiil,rf,0.01,external_primary,10,0.41825489435461066,0.2985749299719888,0.6250658413718605,0.9894801198932426,0.004246455277830575,1.0,0.0,10000.0,0.0,0.38816791324625954,0.37024698567070985
iscx_url2016_binary,phiusiil,rf,0.01,source_s3_test,10,0.41825489435461066,0.2985749299719888,0.6250658413718605,0.9976550944462763,0.0019298634255458269,0.1371083918125094,0.14419785948563266,1371.0839181250938,1441.9785948563267,0.9993981306056405,0.9989205485267199
iscx_url2016_binary,phiusiil,rf,0.01,source_validation,10,0.41825489435461066,0.2985749299719888,0.6250658413718605,0.9983263236049519,0.0011484848808434747,0.009488633921687953,0.0008100488753856537,94.88633921687952,8.100488753856537,0.9996441731841615,0.999306292340064
iscx_url2016_binary,phiusiil,xgb,0.001,external_primary,10,0.4387346640229225,0.0884474441409111,0.8989022374153137,0.9880992481714829,0.003849795596215205,1.0,0.0,10000.0,0.0,0.4121257782944034,0.42267846765678085
iscx_url2016_binary,phiusiil,xgb,0.001,source_s3_test,10,0.4387346640229225,0.0884474441409111,0.8989022374153137,0.9977214457312437,0.002391750388483918,0.14118423533848765,0.1495799374338155,1411.8423533848766,1495.799374338155,0.999356207645936,0.9988205210241912
iscx_url2016_binary,phiusiil,xgb,0.001,source_validation,10,0.4387346640229225,0.0884474441409111,0.8989022374153137,0.9981921854426448,0.0012635717377559414,0.0009168655637624961,6.174823920250608e-05,9.168655637624962,0.6174823920250612,0.9996882065813985,0.9994481574940085
iscx_url2016_binary,phiusiil,xgb,0.01,external_primary,10,0.3261110968887806,0.03031863272190094,0.8357203006744385,0.9902709748033646,0.004531955517540506,1.0,0.0,10000.0,0.0,0.4121257782944034,0.42267846765678085
iscx_url2016_binary,phiusiil,xgb,0.01,source_s3_test,10,0.3261110968887806,0.03031863272190094,0.8357203006744385,0.9983245291144863,0.002055506876823268,0.16720724118423536,0.1767288732772825,1672.0724118423536,1767.288732772825,0.999356207645936,0.9988205210241912
iscx_url2016_binary,phiusiil,xgb,0.01,source_validation,10,0.3261110968887806,0.03031863272190094,0.8357203006744385,0.9984604617672591,0.0014472738824907998,0.00989694869525885,0.00011662539615454348,98.96948695258851,1.1662539615454348,0.9996882065813985,0.9994481574940085
phiusiil,iscx_url2016_binary,lr,0.001,external_primary,10,0.9996876781228341,0.9993022019747216,0.9998907453828078,0.9951369292229824,0.00043391520313422043,0.9291226907994222,0.006148881732926301,9291.226907994223,61.48881732926301,0.5506175940643595,0.22387898904311238
phiusiil,iscx_url2016_binary,lr,0.001,source_s3_test,10,0.9996876781228341,0.9993022019747216,0.9998907453828078,0.9045035937485857,0.02855346929791051,0.0009688478163660753,0.0002579025107632771,9.688478163660754,2.5790251076327717,0.9941745439723976,0.996120376553088
phiusiil,iscx_url2016_binary,lr,0.001,source_validation,10,0.9996876781228341,0.9993022019747216,0.9998907453828078,0.9032757595351961,0.030016830755215274,0.0009936851312132978,1.561170460747382e-08,9.93685131213298,0.0001561170460746738,0.9940943878758557,0.9960848447655687
phiusiil,iscx_url2016_binary,lr,0.01,external_primary,10,0.9043716406744396,0.8652622065257374,0.9424757440058688,0.9972751749454943,0.00023505833207427437,0.9407237793773247,0.007640323642011665,9407.237793773247,76.40323642011649,0.5506175940643595,0.22387898904311238
phiusiil,iscx_url2016_binary,lr,0.01,source_s3_test,10,0.9043716406744396,0.8652622065257374,0.9424757440058688,0.9808904653522538,0.004094229652669653,0.009350623540517713,0.0022492933121755084,93.50623540517714,22.492933121755087,0.9941745439723976,0.996120376553088
phiusiil,iscx_url2016_binary,lr,0.01,source_validation,10,0.9043716406744396,0.8652622065257374,0.9424757440058688,0.9834633888151247,0.0022898622780573316,0.009986535568693644,1.5689763130433917e-07,99.86535568693644,0.0015689763130428587,0.9940943878758557,0.9960848447655687
phiusiil,iscx_url2016_binary,rf,0.001,external_primary,10,0.9810193551917449,0.9678822844471395,0.986452380952381,0.9879220636401016,0.004121394413315733,0.999277740659631,0.0015389611117047049,9992.777406596311,15.389611117046956,0.45297836899048294,0.19069823300647554
phiusiil,iscx_url2016_binary,rf,0.001,source_s3_test,10,0.9810193551917449,0.9678822844471395,0.986452380952381,0.8678409848100126,0.03762654111358803,0.0011576489292989516,0.0011538624973415747,11.576489292989518,11.538624973415748,0.9991366779266551,0.9989549436020898
phiusiil,iscx_url2016_binary,rf,0.001,source_validation,10,0.9810193551917449,0.9678822844471395,0.986452380952381,0.8599555991100134,0.05508809150598134,0.0009638744291712648,5.3406176824787285e-05,9.63874429171265,0.5340617682478724,0.9991030438065944,0.9988971634931099
phiusiil,iscx_url2016_binary,rf,0.01,external_primary,10,0.8008451333572694,0.7661270343719967,0.8374079540298223,0.998649133998925,8.662383886076586e-05,1.0,0.0,10000.0,0.0,0.45297836899048294,0.19069823300647554
phiusiil,iscx_url2016_binary,rf,0.01,source_s3_test,10,0.8008451333572694,0.7661270343719967,0.8374079540298223,0.9917927442235168,0.001604445586944606,0.010543051622199037,0.0019385872007570534,105.43051622199036,19.385872007570534,0.9991366779266551,0.9989549436020898
phiusiil,iscx_url2016_binary,rf,0.01,source_validation,10,0.8008451333572694,0.7661270343719967,0.8374079540298223,0.9914904851432815,0.002360391778285033,0.00996169331699195,5.36401012060654e-05,99.6169331699195,0.5364010120606576,0.9991030438065944,0.9988971634931099
phiusiil,iscx_url2016_binary,xgb,0.001,external_primary,10,0.9286191761493683,0.9046146273612976,0.9620738625526428,0.998661500432911,0.00017230325833525594,1.0,0.0,10000.0,0.0,0.07636791698545242,0.11513152768575727
