dataset,model,feature_set,jaccard,source_dataset,macro_f1
iscx_url2016_binary,lr,f_mi,1.0,iscx_url2016_binary,0.28861363285167607
iscx_url2016_binary,lr,f_permutation,0.6610509115927072,iscx_url2016_binary,0.2852247112918163
iscx_url2016_binary,lr,f_single,0.7357642472193556,iscx_url2016_binary,0.2868538787787934
iscx_url2016_binary,lr,f_stable,0.7822222222222223,iscx_url2016_binary,0.28583704850341174
iscx_url2016_binary,rf,f_mi,1.0,iscx_url2016_binary,0.2910064673197232
iscx_url2016_binary,rf,f_permutation,0.7490806264026079,iscx_url2016_binary,0.29407104844225956
iscx_url2016_binary,rf,f_single,0.8395424836601307,iscx_url2016_binary,0.29258808896063
iscx_url2016_binary,rf,f_stable,0.8774440374440374,iscx_url2016_binary,0.2923271969882225
iscx_url2016_binary,xgb,f_mi,1.0,iscx_url2016_binary,0.2926494696362857
iscx_url2016_binary,xgb,f_permutation,0.7083906662080036,iscx_url2016_binary,0.294672182668436
iscx_url2016_binary,xgb,f_single,0.8373638344226579,iscx_url2016_binary,0.294971173522682
iscx_url2016_binary,xgb,f_stable,0.8933150183150184,iscx_url2016_binary,0.2950323763442204
phiusiil,lr,f_mi,1.0,phiusiil,0.17028193864357113
phiusiil,lr,f_permutation,0.8668300653594772,phiusiil,0.2405448249417305
phiusiil,lr,f_single,0.8818627450980393,phiusiil,0.23423151026129396
phiusiil,lr,f_stable,0.9746031746031747,phiusiil,0.20185928177283494
phiusiil,rf,f_mi,1.0,phiusiil,0.17027662434801732
phiusiil,rf,f_permutation,0.6773678477238848,phiusiil,0.17007851428947782
phiusiil,rf,f_single,1.0,phiusiil,0.17043789079853922
phiusiil,rf,f_stable,0.9688888888888889,phiusiil,0.1704345474299006
phiusiil,xgb,f_mi,1.0,phiusiil,0.17032962399304807
phiusiil,xgb,f_permutation,0.573701079211242,phiusiil,0.17051084379927917
phiusiil,xgb,f_single,0.975,phiusiil,0.17056224783002244
phiusiil,xgb,f_stable,0.9392592592592592,phiusiil,0.17056567288270533
