dataset,scenario,model,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std,fpr_mean,fpr_std,n_runs
ISCX-URL2016,S0-row,LR,0.9749797464963237,0.0027454905627831362,0.9937045096619407,0.0015931648732652505,0.00578481251177685,0.003636538088609332,10
ISCX-URL2016,S0-row,RF,0.9961632092801865,0.000505967565249227,0.9999206575778945,6.221114854704529e-05,0.0016205012247973798,0.0009023697001981158,10
ISCX-URL2016,S0-row,XGBoost,0.9975564634077788,0.0009583161766310385,0.999876303966554,0.00015118649297361314,0.0009986809873751199,0.0008382269453151647,10
ISCX-URL2016,S1-url,LR,0.9750179651231271,0.002041908406340095,0.9944535676676164,0.0011645407533288172,0.00697192387412846,0.0029191508168135726,10
ISCX-URL2016,S1-url,RF,0.9963982519226381,0.0011500921585105765,0.9999398472264499,3.144913516725874e-05,0.00145091388731859,0.001036081522466337,10
ISCX-URL2016,S1-url,XGBoost,0.9971487728738371,0.0008418452182126209,0.9999662463850042,2.655648271581496e-05,0.0012247974373468498,0.0006233726914540463,10
ISCX-URL2016,S2-host,LR,0.8873107173864572,0.11066091208634975,0.929772513157662,0.09482433268993809,0.10019884208098843,0.13183117953612497,10
ISCX-URL2016,S2-host,RF,0.947552029322984,0.09530018245624944,0.9984180027935237,0.00033504652778309807,0.0520545386626821,0.10861330850753988,10
ISCX-URL2016,S2-host,XGBoost,0.9509962061735757,0.08213964815339225,0.9986242021985625,0.00066220382071702,0.046787448636533426,0.0938252852547021,10
ISCX-URL2016,S3-domain,LR,0.8660796838366135,0.12544391837875357,0.8968453902850184,0.10344687483379236,0.1421963951152581,0.14665570011531737,10
ISCX-URL2016,S3-domain,RF,0.9578460835233887,0.05856650321540844,0.9993981306056403,0.0005223149807992881,0.040825947576843276,0.060077190004793335,10
ISCX-URL2016,S3-domain,XGBoost,0.8977674317615018,0.11670531306910349,0.999356207645936,0.000680752859590143,0.11238921365264942,0.13187435018854876,10
PhiUSIIL,S0-row,LR,0.9865937522277273,0.0014534412285122508,0.993965718046557,0.0006644576811215265,0.011009835675738811,0.002111902529010797,10
PhiUSIIL,S0-row,RF,0.9915726058074986,0.000652727778097191,0.9974474519356666,0.00034105771331253314,0.00819679141252415,0.001397807471996222,10
PhiUSIIL,S0-row,XGBoost,0.9953566629556576,0.00044825191167200816,0.9978779703512972,0.00034453691255301817,0.0015177419891116701,0.0005020260288029461,10
PhiUSIIL,S1-url,LR,0.9851604616247585,0.0009631498900773976,0.9930910876973638,0.0002726451460346838,0.010901270578929121,0.0016549102885564852,10
PhiUSIIL,S1-url,RF,0.9915651606357555,0.0005410635525197783,0.997244208330548,0.0004159663426693191,0.00763830523557617,0.0013196566782062824,10
PhiUSIIL,S1-url,XGBoost,0.995081699309486,0.0004344451215646108,0.9976092253399415,0.0003320841723773262,0.00146833440450879,0.00038227752611846074,10
PhiUSIIL,S2-host,LR,0.9860663843129924,0.0012328672773571571,0.9924965041639366,0.0003831780926503826,0.0080832550551243,0.0020168863776473594,10
PhiUSIIL,S2-host,RF,0.9891537062123975,0.00046292713612181404,0.9942336520513309,0.00030066560429624535,0.00540861225095166,0.001217307705091529,10
PhiUSIIL,S2-host,XGBoost,0.9916341027875232,0.00019934398595945781,0.9948376280556328,0.0002930118519501025,0.00134968111929594,0.0004182384153266077,10
PhiUSIIL,S3-domain,LR,0.9856512181366608,0.0010180983541327852,0.9941745439723976,0.0008467506616881861,0.009802752521488491,0.003639391287395299,10
PhiUSIIL,S3-domain,RF,0.990177164883805,0.0012087755864894564,0.9991366776070789,0.00022411044907440887,0.01020519699905595,0.001082265904936678,10
PhiUSIIL,S3-domain,XGBoost,0.9935603706906747,0.0009569882679615365,0.9994806235500443,8.958006700423454e-05,0.0036816217021910297,0.0015161599767625265,10
