source_dataset,target_dataset,repetition,model,fpr_budget,threshold_variant,threshold,evaluation_scope,validation_within_budget,n_samples,n_benign,n_phishing,accuracy,balanced_accuracy,precision,recall,macro_f1,roc_auc,pr_auc,fpr,tn,fp,fn,tp,fpr_wilson_upper_95,fpr_clopper_pearson_upper_95,alerts_per_10000_benign
phiusiil,iscx_url2016_binary,r00,lr,0.001,safer_neighbor,0.9994971187659878,source_validation,True,35674,20127,15547,0.9490945786847564,0.9417428153506062,0.9985476726454143,0.8844793207692803,0.9474256488333391,0.9928290724070032,0.9953397391567005,0.0009936900680677697,20107,20,1796,13751,0.001432139113093784,0.0014436068885975365,9.936900680677697
phiusiil,iscx_url2016_binary,r00,lr,0.001,safer_neighbor,0.9994971187659878,source_s3_test,True,35674,20127,15547,0.9727252340640242,0.9688541551589294,0.9986314492951964,0.9387020003859265,0.9720579187048268,0.9947835521789182,0.9965415837561087,0.0009936900680677697,20107,20,953,14594,0.001432139113093784,0.0014436068885975365,9.936900680677697
phiusiil,iscx_url2016_binary,r00,lr,0.001,safer_neighbor,0.9994971187659878,external_primary,True,41108,32552,8556,0.26722292497810646,0.5354571607282557,0.2205840437385018,0.9949742870500233,0.25104888746758514,0.5547280893886213,0.22807048405494593,0.9240599655935119,2472,30080,43,8513,0.9264399173422232,0.926462330614956,9240.599655935119
phiusiil,iscx_url2016_binary,r00,lr,0.001,selected,0.9994958121004157,source_validation,True,35674,20127,15547,0.9491506419240904,0.9418071364414919,0.9985478835402599,0.8846079629510516,0.94748463344972,0.9928290724070032,0.9953397391567005,0.0009936900680677697,20107,20,1794,13753,0.001432139113093784,0.0014436068885975365,9.936900680677697
phiusiil,iscx_url2016_binary,r00,lr,0.001,selected,0.9994958121004157,source_s3_test,True,35674,20127,15547,0.9727252340640242,0.9688614734526706,0.9985632183908046,0.9387663214768123,0.9720584146279376,0.9947835521789182,0.9965415837561087,0.001043374571471158,20106,21,952,14595,0.0014906822272049613,0.001502136477159864,10.43374571471158
phiusiil,iscx_url2016_binary,r00,lr,0.001,selected,0.9994958121004157,external_primary,True,41108,32552,8556,0.26719859881288316,0.535441800688934,0.2205783282375499,0.9949742870500233,0.25101855074802437,0.5547280893886213,0.22807048405494593,0.9240906856721554,2471,30081,43,8513,0.9264701865786765,0.9264926002720577,9240.906856721553
phiusiil,iscx_url2016_binary,r00,lr,0.001,more_permissive_neighbor,0.9994944147234195,source_validation,False,35674,20127,15547,0.9491226103044234,0.9417822941897902,0.9984753884129519,0.8846079629510516,0.9474562252412394,0.9928290724070032,0.9953397391567005,0.001043374571471158,20106,21,1794,13753,0.0014906822272049613,0.001502136477159864,10.43374571471158
phiusiil,iscx_url2016_binary,r00,lr,0.001,more_permissive_neighbor,0.9994944147234195,source_s3_test,True,35674,20127,15547,0.9727252340640242,0.9688614734526706,0.9985632183908046,0.9387663214768123,0.9720584146279376,0.9947835521789182,0.9965415837561087,0.001043374571471158,20106,21,952,14595,0.0014906822272049613,0.001502136477159864,10.43374571471158
phiusiil,iscx_url2016_binary,r00,lr,0.001,more_permissive_neighbor,0.9994944147234195,external_primary,True,41108,32552,8556,0.26719859881288316,0.535441800688934,0.2205783282375499,0.9949742870500233,0.25101855074802437,0.5547280893886213,0.22807048405494593,0.9240906856721554,2471,30081,43,8513,0.9264701865786765,0.9264926002720577,9240.906856721553
phiusiil,iscx_url2016_binary,r00,lr,0.01,safer_neighbor,0.9147406172949526,source_validation,True,35674,20127,15547,0.9871054549531872,0.98666980784452,0.9870859430490089,0.9832765163697176,0.986883559533591,0.9928290724070032,0.9953397391567005,0.009936900680677697,19927,200,260,15287,0.011154567012271905,0.01116585249731659,99.36900680677697
