estimand,model,top15_jaccard_mean,rank_spearman_mean,n_pairs
partition,lr,0.8307830954019034,0.9523174888503942,360
partition,rf,0.8881535947712419,0.9794525866807047,360
partition,xgb,0.859192609792455,0.9764031201130057,360
regime,lr,0.7098418534080299,0.8756510450359186,120
regime,rf,0.8585580065359477,0.9591709921217549,120
regime,xgb,0.8242614809081527,0.9682816662339531,120
seed,lr,1.0,1.0,180
seed,rf,0.9245506535947712,0.9900518102180136,180
seed,xgb,0.8972222222222223,0.9873942344935351,180
source,lr,0.7244130546955624,0.8931194211410135,20
source,rf,0.7053986068111455,0.8755835791461919,20
source,xgb,0.6593653250773993,0.9043729661795789,20
