dataset,repetition,model,macro_f1_dcss15,macro_f1_all,delta_dcss15_minus_all
iscx_url2016_binary,r00,lr,0.97688021223107,0.9865434408163554,-0.009663228585285344
iscx_url2016_binary,r00,rf,0.9991428795707794,0.9980691312213256,0.0010737483494538402
iscx_url2016_binary,r00,xgb,0.9995716479380692,0.9995716479380692,0.0
iscx_url2016_binary,r01,lr,0.7437570128575492,0.746387550722144,-0.002630537864594773
iscx_url2016_binary,r01,rf,0.9779266459823228,0.9210074610333374,0.0569191849489854
iscx_url2016_binary,r01,xgb,0.9597385864231254,0.7585857834602212,0.20115280296290416
iscx_url2016_binary,r02,lr,0.7420416563705865,0.7462547920195509,-0.004213135648964417
iscx_url2016_binary,r02,rf,0.9197715083078158,0.8458301561749837,0.07394135213283215
iscx_url2016_binary,r02,xgb,0.9927358939339692,0.7463512016013547,0.2463846923326145
iscx_url2016_binary,r03,lr,0.8356370134540535,0.9882972728228164,-0.15266025936876293
iscx_url2016_binary,r03,rf,0.9987136939702372,0.9995716479380692,-0.0008579539678319481
iscx_url2016_binary,r03,xgb,0.9995716479380692,0.9995716479380692,0.0
iscx_url2016_binary,r04,lr,0.7355248918050432,0.7472357751770031,-0.011710883371959913
iscx_url2016_binary,r04,rf,0.7932431393398168,0.8691775001998443,-0.07593436086002747
iscx_url2016_binary,r04,xgb,0.96014941717391,0.7595047663892975,0.20064465078461247
iscx_url2016_binary,r05,lr,0.9744944677895216,0.9867571783273804,-0.012262710537858768
iscx_url2016_binary,r05,rf,0.996561474821888,0.996777170504687,-0.00021569568279899975
iscx_url2016_binary,r05,xgb,0.9972082452029016,0.9969927605924422,0.00021548461045939327
iscx_url2016_binary,r06,lr,0.712971810465669,0.749617732703356,-0.03664592223768692
iscx_url2016_binary,r06,rf,0.8577961085926686,0.9637035283341996,-0.10590741974153095
iscx_url2016_binary,r06,xgb,0.9725212887926388,0.9193247247266612,0.053196564065977614
iscx_url2016_binary,r07,lr,0.7415353296836747,0.7460584221734987,-0.0045230924898239655
iscx_url2016_binary,r07,rf,0.7621009134406264,0.9864675618619344,-0.22436664842130805
iscx_url2016_binary,r07,xgb,0.9827259011204446,0.7997005664153702,0.18302533470507432
iscx_url2016_binary,r08,lr,0.9819359392571568,0.9865434408163554,-0.004607501559198535
iscx_url2016_binary,r08,rf,0.9991428795707794,0.998928338982753,0.00021454058802639064
iscx_url2016_binary,r08,xgb,0.999785875949306,0.9991428795707794,0.0006429963785266057
iscx_url2016_binary,r09,lr,0.8318981317001923,0.9771012327876742,-0.1452031010874819
iscx_url2016_binary,r09,rf,0.9987136939702372,0.998928338982753,-0.0002146450125157795
iscx_url2016_binary,r09,xgb,0.9987136939702372,0.998928338982753,-0.0002146450125157795
phiusiil,r00,lr,0.9771542784029932,0.9854696115222256,-0.008315333119232382
phiusiil,r00,rf,0.9899516294073244,0.9914000311425488,-0.001448401735224425
phiusiil,r00,xgb,0.9941226868278928,0.9940089256303164,0.0001137611975764452
phiusiil,r01,lr,0.9803961822778354,0.9857824612761404,-0.005386278998305016
phiusiil,r01,rf,0.9895610773305676,0.989449663078028,0.00011141425253968773
phiusiil,r01,xgb,0.9934089725843364,0.9927273604650476,0.0006816121192887437
phiusiil,r02,lr,0.9772350686538248,0.985273852407013,-0.008038783753188228
phiusiil,r02,rf,0.9894858194238436,0.9893438917709771,0.00014192765286646924
phiusiil,r02,xgb,0.992928317842856,0.9924373737697192,0.0004909440731367676
phiusiil,r03,lr,0.9790607144787218,0.9854332990760368,-0.006372584597315045
phiusiil,r03,rf,0.9915693261326888,0.9917693479190254,-0.00020002178633660161
phiusiil,r03,xgb,0.9946389697294103,0.9948125175295218,-0.0001735478001114732
phiusiil,r04,lr,0.9762977316915832,0.9877232009465484,-0.011425469254965237
phiusiil,r04,rf,0.988911324554648,0.9886635951520464,0.00024772940260164855
phiusiil,r04,xgb,0.9938410172769176,0.9924661308015617,0.0013748864753559964
phiusiil,r05,lr,0.9797003864050676,0.9865473398738872,-0.006846953468819583
phiusiil,r05,rf,0.990485232693072,0.989714514756483,0.0007707179365890049
phiusiil,r05,xgb,0.9935839210382608,0.9934138025091276,0.0001701185291331786
phiusiil,r06,lr,0.9770962630919912,0.9847771984446928,-0.0076809353527016455
phiusiil,r06,rf,0.9912858759675788,0.9910560086276472,0.0002298673399315776
phiusiil,r06,xgb,0.994354813134933,0.994157426964316,0.0001973861706170421
phiusiil,r07,lr,0.981480025805174,0.9863511144649908,-0.00487108865981678
phiusiil,r07,rf,0.9903417503498512,0.9883719396334368,0.001969810716414333
phiusiil,r07,xgb,0.992439435736402,0.9925264329736792,-8.699723727711994e-05
phiusiil,r08,lr,0.9783763764869556,0.9850412927811958,-0.006664916294240153
phiusiil,r08,rf,0.9911425398268356,0.9910292583520404,0.00011328147479527928
phiusiil,r08,xgb,0.993580070993178,0.9944732193929786,-0.0008931483998005918
phiusiil,r09,lr,0.9758278194522846,0.9841128105738766,-0.008284991121591978
phiusiil,r09,rf,0.9904931519992785,0.9909733984058162,-0.0004802464065377654
phiusiil,r09,xgb,0.9953797999133068,0.9945805168704798,0.0007992830428270592
