dataset,scenario,repetition,model,selected_candidate,threshold,validation_macro_f1,macro_f1,validation_test_macro_f1_gap,roc_auc,recall,fpr,n_benign,n_phishing,descriptive_instability_flag
iscx_url2016_binary,S2-host,r00,lr,lr_c1,0.88,0.7454080985528619,0.9667540799671682,-0.22134598141430628,0.9875745298532832,0.9001349527665317,0.0003582945180938,5582,1482,True
iscx_url2016_binary,S2-host,r00,rf,rf_depth24_leaf2,0.58,0.9976415866090892,0.993113892264193,0.004527694344896194,0.9982658255207238,0.9784075573549258,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r00,xgb,xgb_d6_lr01_balanced,0.94,0.9991430173499248,0.993113892264193,0.006029125085731835,0.999020492415616,0.9784075573549258,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r01,lr,lr_c01,0.65,0.979927789359895,0.7384561994591873,0.24147158990070772,0.79016458577333,0.9517749497655726,0.2784833769144564,5354,1493,True
iscx_url2016_binary,S2-host,r01,rf,rf_depth16_leaf1,0.5,0.9933341156426708,0.9931737739125408,0.0001603417301300203,0.9988617032642182,0.9946416610850636,0.0044826298094882,5354,1493,False
iscx_url2016_binary,S2-host,r01,xgb,xgb_d6_lr005,0.5,0.993980714134074,0.94897126517278,0.045009448961293996,0.999537250288421,0.9979906229068988,0.0465072842734404,5354,1493,False
iscx_url2016_binary,S2-host,r02,lr,lr_c1,0.88,0.7515558631503799,0.966292834640607,-0.21473697149022708,0.986437392022072,0.8987854251012146,0.0003582945180938,5582,1482,True
iscx_url2016_binary,S2-host,r02,rf,rf_unlimited_leaf5_balanced,0.73,0.9974228136385992,0.9878758455989624,0.009546968039636838,0.9979543123718952,0.96221322537112,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r02,xgb,xgb_d6_lr01_balanced,0.94,0.997853387528166,0.9918103678146528,0.006043019713513176,0.9992372340050026,0.9743589743589745,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r03,lr,lr_c1,0.4,0.7454925733603769,0.8315681992546744,-0.08607562589429751,0.9906266817720928,0.9649122807017544,0.158187029738445,5582,1482,True
iscx_url2016_binary,S2-host,r03,rf,rf_depth16_leaf1,0.6,0.996346321820936,0.9937641726979825,0.0025821491229535143,0.9979775217333912,0.9804318488529016,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r03,xgb,xgb_d6_lr01_balanced,0.95,0.9972087261996878,0.993330761885169,0.0038779643145188114,0.9990841972776384,0.9790823211875844,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r04,lr,lr_c1,0.86,0.7508527757687493,0.9720227738926585,-0.22116999812390914,0.9881579068250512,0.9156545209176788,0.0003582945180938,5582,1482,True
iscx_url2016_binary,S2-host,r04,rf,rf_depth16_leaf1,0.63,0.9974244636342716,0.993980714134074,0.003443749500197657,0.998482083581746,0.98110661268556,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r04,xgb,xgb_d4_lr005,0.84,0.9978526806170188,0.99289691300373,0.004955767613288864,0.9977483292886186,0.9777327935222672,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r05,lr,lr_c1,0.87,0.7464720373271692,0.9743067980722824,-0.22783476074511322,0.9898899054266872,0.9230769230769232,0.0005374417771408,5582,1482,True
iscx_url2016_binary,S2-host,r05,rf,rf_depth24_leaf2,0.62,0.9969932825783656,0.993330761885169,0.0036625206931966137,0.9983732896997336,0.9790823211875844,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r05,xgb,xgb_d4_lr005,0.82,0.9967761663125908,0.993330761885169,0.0034454044274218054,0.9980211601682872,0.9790823211875844,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r06,lr,lr_c1,0.79,0.7482641926940925,0.9690637404511304,-0.22079954775703792,0.9890356316887084,0.9338731443994602,0.0080616266571121,5582,1482,True
iscx_url2016_binary,S2-host,r06,rf,rf_depth24_leaf2,0.64,0.9976392991974896,0.9926798239812448,0.004959475216244846,0.9983059583749772,0.9770580296896086,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r06,xgb,xgb_d4_lr005,0.86,0.9980685175252187,0.9911571171598624,0.006911400365356313,0.9976013366658107,0.9723346828609988,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r07,lr,lr_c01,0.64,0.9799174011778218,0.7402658704436421,0.23965153073417966,0.7913810708220981,0.955123911587408,0.2773627194620844,5354,1493,True
iscx_url2016_binary,S2-host,r07,rf,rf_depth16_leaf1,0.35,0.9944218643092616,0.7713776030532373,0.22304426125602428,0.998418844659463,0.9953114534494308,0.2514008218154651,5354,1493,True
iscx_url2016_binary,S2-host,r07,xgb,xgb_d6_lr01_balanced,0.12,0.9955002098925312,0.7497958681730289,0.24570434171950228,0.9983142599720124,0.999330207635633,0.2820321255136346,5354,1493,True
iscx_url2016_binary,S2-host,r08,lr,lr_c1,0.86,0.7475088542894202,0.9745197261420326,-0.22701087185261248,0.98885418766993,0.9230769230769232,0.0003582945180938,5582,1482,True
iscx_url2016_binary,S2-host,r08,rf,rf_depth16_leaf1,0.66,0.9956984137594468,0.993980714134074,0.001717699625372826,0.9985310408286516,0.98110661268556,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r08,xgb,xgb_d6_lr01_balanced,0.91,0.9967761663125908,0.993980714134074,0.002795452178516844,0.998798794660493,0.98110661268556,0.0,5582,1482,False
iscx_url2016_binary,S2-host,r09,lr,lr_c01,0.69,0.9763265488505104,0.739856951541188,0.23646959730932238,0.7956032397233659,0.955123911587408,0.2779230481882704,5354,1493,True
iscx_url2016_binary,S2-host,r09,rf,rf_depth24_leaf2,0.33,0.9933805484842992,0.7622429915683628,0.2311375569159364,0.9990094479004374,0.9979906229068988,0.2646619350018677,5354,1493,True
iscx_url2016_binary,S2-host,r09,xgb,xgb_d6_lr005,0.31,0.9946323766106936,0.861574400243099,0.13305797636759464,0.9988789672437256,0.9966510381781648,0.1393350765782592,5354,1493,True
iscx_url2016_binary,S3-domain,r00,lr,lr_c1,0.86,0.7506881356534181,0.9865434408163554,-0.2358553051629373,0.9949268737891342,0.960429242119383,0.0005567928730512,5388,1491,True
iscx_url2016_binary,S3-domain,r00,rf,rf_unlimited_leaf5_balanced,0.73,0.998066511046646,0.9980691312213256,-2.62017467955733e-06,0.9999941495047991,0.993963782696177,0.0,5388,1491,False
iscx_url2016_binary,S3-domain,r00,xgb,xgb_d6_lr01_balanced,0.91,0.9989268745006724,0.9995716479380692,-0.0006447734373967728,0.9999997510427574,0.9986586183769284,0.0,5388,1491,False
iscx_url2016_binary,S3-domain,r01,lr,lr_c01,0.66,0.98501293229816,0.746387550722144,0.23862538157601598,0.7957819042291326,0.9846153846153848,0.2824816141806525,5303,1495,True
iscx_url2016_binary,S3-domain,r01,rf,rf_unlimited_leaf5_balanced,0.56,0.9987143193561692,0.9210074610333374,0.07770685832283175,0.9992216181034652,0.9953177257525084,0.0742975674146709,5303,1495,True
iscx_url2016_binary,S3-domain,r01,xgb,xgb_d6_lr01_balanced,0.3,0.9995716479380692,0.7585857834602212,0.24098586447784798,0.9988365265575048,0.9993311036789296,0.2717329813313219,5303,1495,True
iscx_url2016_binary,S3-domain,r02,lr,lr_c01,0.67,0.9913656007239892,0.7462547920195509,0.24511080870443824,0.8027061100645372,0.979933110367893,0.280784461625495,5303,1495,True
iscx_url2016_binary,S3-domain,r02,rf,rf_depth24_leaf2,0.42,0.9991432958761384,0.8458301561749837,0.15331313970115468,0.99879792910809,0.9966555183946488,0.1589666226664152,5303,1495,True
iscx_url2016_binary,S3-domain,r02,xgb,xgb_d6_lr01_balanced,0.16,0.9995718557820568,0.7463512016013547,0.25322065418070205,0.9981395020298348,0.9986622073578596,0.2881387893645106,5303,1495,True
iscx_url2016_binary,S3-domain,r03,lr,lr_c1,0.88,0.7469620073232079,0.9882972728228164,-0.2413352654996085,0.995368150501624,0.965124077800134,0.0003711952487008,5388,1491,True
iscx_url2016_binary,S3-domain,r03,rf,rf_depth16_leaf1,0.64,0.9987119392381936,0.9995716479380692,-0.0008597086998756165,0.999996639077225,0.9986586183769284,0.0,5388,1491,False
iscx_url2016_binary,S3-domain,r03,xgb,xgb_d6_lr005,0.65,0.999356434517212,0.9995716479380692,-0.00021521342085717432,0.9999998755213786,0.9986586183769284,0.0,5388,1491,False
iscx_url2016_binary,S3-domain,r04,lr,lr_c01,0.68,0.9939707760498836,0.7472357751770031,0.24673500087288047,0.7943971891975072,0.9832775919732442,0.280784461625495,5303,1495,True
