dataset,scenario_key,repetition,model,candidate,candidate_index,params_json,status,fit_seconds,threshold,validation_n_samples,validation_n_benign,validation_n_phishing,validation_threshold,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_macro_f1,validation_roc_auc,validation_pr_auc,validation_fpr,validation_tn,validation_fp,validation_fn,validation_tp
iscx_url2016_binary,s0,r00,lr,lr_c01,0,"{""C"": 0.1, ""class_weight"": null}",ok,1.63555260000021,0.42,6801,5306,1495,0.42,0.9823555359505955,0.9675531076701204,0.9777623349548298,0.9411371237458194,0.9739258052866092,0.9921014513764316,0.9864520172854117,0.0060309084055785,5274,32,88,1407
iscx_url2016_binary,s0,r00,lr,lr_c1,1,"{""C"": 1.0, ""class_weight"": null}",ok,1.5892460999998548,0.4,6801,5306,1495,0.4,0.9832377591530658,0.9710010879335188,0.9739190116678106,0.9491638795986622,0.9753389442345128,0.9924977970291724,0.986927918091754,0.0071617037316245,5268,38,76,1419
iscx_url2016_binary,s0,r00,lr,lr_c1_balanced,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",ok,1.618795500000033,0.54,6801,5306,1495,0.54,0.9819144243493604,0.9737562196894536,0.9585561497326204,0.9591973244147156,0.9736424427367484,0.9933157011624376,0.987388504583926,0.0116848850358085,5244,62,61,1434
iscx_url2016_binary,s0,r00,rf,rf_depth16_leaf1,0,"{""class_weight"": null, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",ok,3.4265720000003057,0.29,6801,5306,1495,0.29,0.9967651815909424,0.995044292635207,0.9933020763563296,0.9919732441471572,0.9952822407020204,0.9999324296215428,0.9997643269652312,0.0018846588767433,5296,10,12,1483
iscx_url2016_binary,s0,r00,rf,rf_depth24_leaf2,1,"{""class_weight"": null, ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",ok,3.069720800000141,0.44,6801,5306,1495,0.44,0.9967651815909424,0.9940834317684152,0.995959595959596,0.9892976588628762,0.9952731383136684,0.9998992747530088,0.9996567368535084,0.0011307953260459,5300,6,16,1479
iscx_url2016_binary,s0,r00,rf,rf_unlimited_leaf5_balanced,2,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",ok,3.2928194999999505,0.39,6801,5306,1495,0.39,0.9964711071901192,0.9948558267475326,0.9919732441471572,0.9919732441471572,0.9948558267475326,0.9998630943451408,0.999535828836988,0.0022615906520919,5294,12,12,1483
iscx_url2016_binary,s0,r00,xgb,xgb_d4_lr005,0,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,2.0816978000002564,0.43,6801,5306,1495,0.43,0.9964711071901192,0.9934145354473448,0.9959541469993256,0.9879598662207358,0.9948409318941313,0.9992997137083406,0.9985437718250574,0.0011307953260459,5300,6,18,1477
iscx_url2016_binary,s0,r00,xgb,xgb_d6_lr005,1,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.9}",ok,1.99440149999964,0.22,6801,5306,1495,0.22,0.9969122187913542,0.994898310362346,0.9946308724832216,0.991304347826087,0.995493432122466,0.9994436789549788,0.9987000829222376,0.0015077271013946,5298,8,13,1482
iscx_url2016_binary,s0,r00,xgb,xgb_d6_lr01_balanced,2,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200, ""reg_lambda"": 1.0, ""scale_pos_weight"": 3.5505376344086024, ""subsample"": 0.9}",ok,1.5556062000000566,0.24,6801,5306,1495,0.24,0.9972062931921776,0.9958074219001144,0.993975903614458,0.9933110367892976,0.9959265508756202,0.9993564425708512,0.9987051897535651,0.0016961929890689,5297,9,10,1485
iscx_url2016_binary,s0,r01,lr,lr_c01,0,"{""C"": 0.1, ""class_weight"": null}",ok,1.2958859000000302,0.56,6801,5306,1495,0.56,0.9825025731510072,0.9681277710473536,0.9771151178918168,0.94247491638796,0.974162235831984,0.9941280584735904,0.988612597915158,0.0062193742932529,5273,33,86,1409
