feature_order,feature,group,dtype,definition,requires_network,uses_target_statistics
1,url_length,length,int,"Length of the feature-ready normalized URL, including a retained fragment.",False,False
2,hostname_length,length,int,Length of the lowercase IDNA hostname.,False,False
3,path_length,length,int,Length of the URL path.,False,False
4,query_length,length,int,Length of the query string without the question mark.,False,False
5,fragment_length,length,int,Length of the fragment without the number sign.,False,False
6,digit_count,character_composition,int,Number of Unicode decimal digits in the feature-ready URL.,False,False
7,letter_count,character_composition,int,Number of Unicode alphabetic characters in the feature-ready URL.,False,False
8,special_char_count,character_composition,int,Number of characters that are neither letters nor digits.,False,False
9,digit_ratio,character_composition,float,digit_count divided by url_length.,False,False
10,letter_ratio,character_composition,float,letter_count divided by url_length.,False,False
11,special_char_ratio,character_composition,float,special_char_count divided by url_length.,False,False
12,dot_count,character_composition,int,Number of periods in the feature-ready URL.,False,False
13,hyphen_count,character_composition,int,Number of hyphens in the feature-ready URL.,False,False
14,underscore_count,character_composition,int,Number of underscores in the feature-ready URL.,False,False
15,slash_count,character_composition,int,Number of forward slashes in the feature-ready URL.,False,False
16,question_mark_count,character_composition,int,Number of question marks in the feature-ready URL.,False,False
17,equals_sign_count,character_composition,int,Number of equals signs in the feature-ready URL.,False,False
18,percent_sign_count,character_composition,int,Number of percent signs in the feature-ready URL.,False,False
19,at_sign_count,character_composition,int,Number of at signs in the feature-ready URL.,False,False
20,subdomain_depth,structure,int,Number of labels in the Public-Suffix-List subdomain component.,False,False
21,path_segment_count,structure,int,Number of nonempty slash-delimited path segments.,False,False
22,query_parameter_count,structure,int,Number of ampersand-delimited query parameters parsed with blank values retained.,False,False
23,has_port,structure,int,One when a nondefault explicit port remains after normalization; otherwise zero.,False,False
24,has_userinfo,structure,int,One when the URL authority contains user information before an at sign.,False,False
25,host_is_ip,domain,int,One when the complete hostname is an IPv4 or IPv6 literal.,False,False
26,tld_length,domain,int,Length of the Public-Suffix-List suffix; zero when absent.,False,False
27,registrable_domain_length,domain,int,"Length of the registrable domain, or hostname when no registrable domain exists.",False,False
28,domain_digit_ratio,domain,float,Proportion of decimal digits in the registrable domain representation.,False,False
29,domain_hyphen_ratio,domain,float,Proportion of hyphens in the registrable domain representation.,False,False
30,url_char_entropy,string_statistical,float,Base-2 Shannon entropy of characters in the feature-ready URL.,False,False
31,longest_repeated_char_run,string_statistical,int,Maximum run length of one repeated character.,False,False
32,char_type_transition_count,string_statistical,int,"Number of adjacent transitions among letter, digit, and other character types.",False,False
33,token_count,string_statistical,int,Number of maximal ASCII alphanumeric tokens.,False,False
34,token_mean_length,string_statistical,float,Mean length of ASCII alphanumeric tokens; zero when no token exists.,False,False
35,token_max_length,string_statistical,int,Maximum length of an ASCII alphanumeric token; zero when no token exists.,False,False
