source_dataset,target_dataset,repetition,model,fpr_budget,threshold_selected_on_source_validation,evaluation_scope,alerts_per_10000_benign,n_samples,n_benign,n_phishing,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,roc_auc,pr_auc,fpr,tn,fp,fn,tp
phiusiil,iscx_url2016_binary,r00,lr,0.001,0.9994958121004157,source_validation,9.936900680677697,35674,20127,15547,0.9994958121004157,0.9491506419240904,0.9418071364414919,0.9985478835402599,0.8846079629510516,0.94748463344972,0.9928290724070032,0.9953397391567005,0.0009936900680677697,20107,20,1794,13753
phiusiil,iscx_url2016_binary,r00,lr,0.001,0.9994958121004157,source_s3_test,10.43374571471158,35674,20127,15547,0.9994958121004157,0.9727252340640242,0.9688614734526706,0.9985632183908046,0.9387663214768123,0.9720584146279376,0.9947835521789182,0.9965415837561087,0.001043374571471158,20106,21,952,14595
phiusiil,iscx_url2016_binary,r00,lr,0.001,0.9994958121004157,external_primary,9240.906856721553,41108,32552,8556,0.9994958121004157,0.26719859881288316,0.535441800688934,0.2205783282375499,0.9949742870500233,0.25101855074802437,0.5547280893886213,0.22807048405494593,0.9240906856721554,2471,30081,43,8513
phiusiil,iscx_url2016_binary,r00,lr,0.01,0.9143669714288533,source_validation,99.86585184081085,35674,20127,15547,0.9143669714288533,0.9870774233335202,0.9866449655928182,0.9870222107438017,0.9832765163697176,0.9868551430233228,0.9928290724070032,0.9953397391567005,0.009986585184081085,19926,201,260,15287
phiusiil,iscx_url2016_binary,r00,lr,0.01,0.9143669714288533,source_s3_test,75.02360013911661,35674,20127,15547,0.9143669714288533,0.9861523798845098,0.9852177529061463,0.990166069684142,0.9779378658262045,0.9859000818627786,0.9947835521789182,0.9965415837561087,0.007502360013911661,19976,151,343,15204
phiusiil,iscx_url2016_binary,r00,lr,0.01,0.9143669714288533,external_primary,9337.982305234702,41108,32552,8556,0.9143669714288533,0.2599250754111122,0.5315814831487371,0.21912811159349552,0.9969611968209444,0.24168798205108738,0.5547280893886213,0.22807048405494593,0.9337982305234701,2155,30397,26,8530
phiusiil,iscx_url2016_binary,r00,rf,0.001,0.9838077870454245,source_validation,8.943210612609928,35674,20127,15547,0.9838077870454245,0.9049447777092561,0.891075319690634,0.9985236220472441,0.7830449604425291,0.8999970827582305,0.9987411671909618,0.9985063931019562,0.0008943210612609927,20109,18,3373,12174
phiusiil,iscx_url2016_binary,r00,rf,0.001,0.9838077870454245,source_s3_test,3.9747602722710784,35674,20127,15547,0.9838077870454245,0.9241464371811403,0.9130321103815753,0.9993777708641207,0.8264616967903776,0.9208597164218385,0.9992723219200196,0.9991864396704125,0.00039747602722710784,20119,8,2698,12849
phiusiil,iscx_url2016_binary,r00,rf,0.001,0.9838077870454245,external_primary,9998.156795281395,41108,32552,8556,0.9838077870454245,0.20550744380655833,0.49343016865107747,0.20596272079633063,0.9866760168302945,0.17057763670492718,0.4576542422259961,0.19445480065368323,0.9998156795281395,6,32546,114,8442
phiusiil,iscx_url2016_binary,r00,rf,0.01,0.7949099920871463,source_validation,98.37531673870919,35674,20127,15547,0.7949099920871463,0.9906654706508942,0.9907395605282797,0.9873158231902627,0.9913166527304303,0.9905133780242414,0.9987411671909618,0.9985063931019562,0.00983753167387092,19929,198,135,15412
phiusiil,iscx_url2016_binary,r00,rf,0.01,0.7949099920871463,source_s3_test,107.81537238535302,35674,20127,15547,0.7949099920871463,0.9914503560015697,0.9917791033817616,0.9861571829548355,0.9943397440020583,0.9913151569809898,0.9992723219200196,0.9991864396704125,0.010781537238535302,19910,217,88,15459
phiusiil,iscx_url2016_binary,r00,rf,0.01,0.7949099920871463,external_primary,10000.0,41108,32552,8556,0.7949099920871463,0.2078427556679965,0.4992987377279102,0.20790344559081175,0.9985974754558204,0.17207766051719972,0.4576542422259961,0.19445480065368323,1.0,0,32552,12,8544
