estimand,dataset,scenario,model,left_run,right_run,comparison,top10_jaccard,top15_jaccard,top20_jaccard,rank_spearman,direction_agreement_all,direction_agreement_top20_union
seed,iscx_url2016_binary,s0,lr,r00,r01,r00_vs_r01,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r00,r02,r00_vs_r02,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r00,r03,r00_vs_r03,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r00,r04,r00_vs_r04,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r00,r05,r00_vs_r05,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r00,r06,r00_vs_r06,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r00,r07,r00_vs_r07,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r00,r08,r00_vs_r08,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r00,r09,r00_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r01,r02,r01_vs_r02,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r01,r03,r01_vs_r03,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r01,r04,r01_vs_r04,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r01,r05,r01_vs_r05,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r01,r06,r01_vs_r06,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r01,r07,r01_vs_r07,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r01,r08,r01_vs_r08,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r01,r09,r01_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r02,r03,r02_vs_r03,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r02,r04,r02_vs_r04,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r02,r05,r02_vs_r05,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r02,r06,r02_vs_r06,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r02,r07,r02_vs_r07,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r02,r08,r02_vs_r08,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r02,r09,r02_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r03,r04,r03_vs_r04,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r03,r05,r03_vs_r05,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r03,r06,r03_vs_r06,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r03,r07,r03_vs_r07,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r03,r08,r03_vs_r08,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r03,r09,r03_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r04,r05,r04_vs_r05,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r04,r06,r04_vs_r06,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r04,r07,r04_vs_r07,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r04,r08,r04_vs_r08,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r04,r09,r04_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r05,r06,r05_vs_r06,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r05,r07,r05_vs_r07,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r05,r08,r05_vs_r08,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r05,r09,r05_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r06,r07,r06_vs_r07,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r06,r08,r06_vs_r08,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r06,r09,r06_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r07,r08,r07_vs_r08,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r07,r09,r07_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,lr,r08,r09,r08_vs_r09,1.0,1.0,1.0,1.0,1.0,1.0
seed,iscx_url2016_binary,s0,rf,r00,r01,r00_vs_r01,0.8181818181818182,0.875,1.0,0.9910364145658265,1.0,1.0
seed,iscx_url2016_binary,s0,rf,r00,r02,r00_vs_r02,1.0,0.875,1.0,0.9952380952380954,0.9714285714285714,1.0
seed,iscx_url2016_binary,s0,rf,r00,r03,r00_vs_r03,0.8181818181818182,0.875,0.9047619047619048,0.9806722689075631,0.9714285714285714,1.0
seed,iscx_url2016_binary,s0,rf,r00,r04,r00_vs_r04,1.0,0.875,1.0,0.9887955182072831,0.9714285714285714,1.0
seed,iscx_url2016_binary,s0,rf,r00,r05,r00_vs_r05,1.0,0.875,0.9047619047619048,0.9955182072829132,1.0,1.0
seed,iscx_url2016_binary,s0,rf,r00,r06,r00_vs_r06,1.0,0.875,1.0,0.9913165266106445,1.0,1.0
