source_dataset,target_dataset,repetition,model,fpr_budget,selected_threshold,allowed_false_positives,selected_threshold_rank_among_unique_scores,first_excluded_benign_rank,first_excluded_benign_score,threshold_margin_to_first_excluded_benign,validation_n_samples,validation_n_benign,validation_n_phishing,validation_fpr,validation_fp,validation_recall,validation_tp,validation_fpr_wilson_upper_95,validation_fpr_clopper_pearson_upper_95,validation_alerts_per_10000_benign,source_test_n_samples,source_test_n_benign,source_test_n_phishing,source_test_fpr,source_test_fp,source_test_recall,source_test_tp,source_test_fpr_wilson_upper_95,source_test_fpr_clopper_pearson_upper_95,source_test_alerts_per_10000_benign,external_n_samples,external_n_benign,external_n_phishing,external_fpr,external_fp,external_recall,external_tp,external_fpr_wilson_upper_95,external_fpr_clopper_pearson_upper_95,external_alerts_per_10000_benign
phiusiil,iscx_url2016_binary,r00,lr,0.001,0.9994958121004157,20,6397,21,0.9994944147234195,1.3973769962261073e-06,35674,20127,15547,0.0009936900680677697,20,0.8846079629510516,13753,0.001432139113093784,0.0014436068885975365,9.936900680677697,35674,20127,15547,0.001043374571471158,21,0.9387663214768123,14595,0.0014906822272049613,0.001502136477159864,10.43374571471158,41108,32552,8556,0.9240906856721554,30081,0.9949742870500233,8513,0.9264701865786765,0.9264926002720577,9240.906856721553
phiusiil,iscx_url2016_binary,r00,lr,0.01,0.9143669714288533,201,7456,202,0.9137270409754162,0.0006399304534370209,35674,20127,15547,0.009986585184081085,201,0.9832765163697176,15287,0.011207082092529868,0.011218368513589174,99.86585184081085,35674,20127,15547,0.007502360013911661,151,0.9779378658262045,15204,0.008571138671993564,0.008582384366694751,75.02360013911661,41108,32552,8556,0.9337982305234701,30397,0.9969611968209444,8530,0.9360291008224764,0.9360516439654771,9337.982305234702
phiusiil,iscx_url2016_binary,r00,rf,0.001,0.9838077870454245,20,915,19,0.9837501150358748,5.767200954964746e-05,35674,20127,15547,0.0008943210612609927,18,0.7830449604425291,12174,0.0013143827299275795,0.0013258809847501352,8.943210612609928,35674,20127,15547,0.00039747602722710784,8,0.8264616967903776,12849,0.0007052719270726329,0.0007170637630863528,3.9747602722710784,41108,32552,8556,0.9998156795281395,32546,0.9866760168302945,8442,0.9999046824347211,0.999919725038237,9998.156795281395
phiusiil,iscx_url2016_binary,r00,rf,0.01,0.7949099920871463,201,2674,199,0.7948282343605355,8.175772661078717e-05,35674,20127,15547,0.00983753167387092,198,0.9913166527304303,15412,0.011049514912161154,0.011060798537055197,98.37531673870919,35674,20127,15547,0.010781537238535302,217,0.9943397440020583,15459,0.012046373093707383,0.012057674989344878,107.81537238535302,41108,32552,8556,1.0,32552,0.9985974754558204,8544,1.0,1.0,10000.0
phiusiil,iscx_url2016_binary,r00,xgb,0.001,0.9502694606781006,20,3696,21,0.9491555094718933,0.0011139512062072754,35674,20127,15547,0.0009936900680677697,20,0.9809609570978324,15251,0.001432139113093784,0.0014436068885975365,9.936900680677697,35674,20127,15547,0.0004968450340338849,10,0.9849488647327459,15313,0.0008309131656555822,0.000842613678464572,4.9684503403388485,41108,32552,8556,1.0,32552,0.9987143525011688,8545,1.0,1.0,10000.0
phiusiil,iscx_url2016_binary,r00,xgb,0.01,0.6199306845664978,201,3969,202,0.619519829750061,0.0004108548164367676,35674,20127,15547,0.009986585184081085,201,0.9936965330932013,15449,0.011207082092529868,0.011218368513589174,99.86585184081085,35674,20127,15547,0.010781537238535302,217,0.993760854184087,15450,0.012046373093707383,0.012057674989344878,107.81537238535302,41108,32552,8556,1.0,32552,0.9998831229546518,8555,1.0,1.0,10000.0
phiusiil,iscx_url2016_binary,r01,lr,0.001,0.9998907453828078,20,4428,21,0.9998907373390261,8.043781640765246e-09,35675,20127,15548,0.0009936900680677697,20,0.9137509647543093,14207,0.001432139113093784,0.0014436068885975365,9.936900680677697,35674,20127,15547,0.0006955830476474388,14,0.8541197658712292,13279,0.001075628126320684,0.0010872061326648325,6.955830476474388,41159,32706,8453,0.9221855317067205,30161,0.9945581450372649,8407,0.9245871835803535,0.9246094664745507,9221.855317067204
phiusiil,iscx_url2016_binary,r01,lr,0.01,0.9096445031809712,201,5350,202,0.9095239018224538,0.00012060135851743592,35675,20127,15548,0.009986585184081085,201,0.9792899408284024,15226,0.011207082092529868,0.011218368513589174,99.86585184081085,35674,20127,15547,0.01018532319769464,205,0.9830835530970605,15284,0.011417070525742699,0.011428360729312501,101.8532319769464,41159,32706,8453,0.9334678652235064,30530,0.9970424701289483,8428,0.9356988214461072,0.935721255108061,9334.678652235065
phiusiil,iscx_url2016_binary,r01,rf,0.001,0.9755366322129241,20,1043,21,0.9755078880459314,2.874416699272242e-05,35675,20127,15548,0.0009936900680677697,20,0.8968999228196552,13945,0.001432139113093784,0.0014436068885975365,9.936900680677697,35674,20127,15547,0.0026332786803795897,53,0.8639608927767415,13432,0.003298010406128133,0.0033092792777451303,26.332786803795898,41159,32706,8453,0.9999694245704153,32705,0.9924287235301077,8389,0.9999931788299591,0.9999984316867191,9999.694245704153
phiusiil,iscx_url2016_binary,r01,rf,0.01,0.8260817269624671,201,1930,202,0.8249883311835465,0.0010933957789205362,35675,20127,15548,0.009986585184081085,201,0.9908026755852842,15405,0.011207082092529868,0.011218368513589174,99.86585184081085,35674,20127,15547,0.009539424653450588,192,0.988808130185888,15373,0.010734179096578715,0.010745457239784534,95.39424653450588,41159,32706,8453,1.0,32706,0.9986986868567372,8442,0.9999999999999998,1.0,10000.0
