label,class_name,split,seed,train_n,test_n,train_domains,test_domains,test_phiusiil_n,test_iscx_n,source_discrimination_auc
0,benign,0,20261301,127897,42330,99294,33098,33724,8606,1.0
0,benign,1,20261302,128236,41991,99294,33098,33591,8400,0.9998809523809524
0,benign,2,20261303,126229,43998,99294,33098,33672,10326,1.0
0,benign,3,20261304,130913,39314,99294,33098,33637,5677,1.0
0,benign,4,20261305,128613,41614,99294,33098,33809,7805,1.0
1,phishing,0,20261301,87438,23471,35574,11858,21100,2371,0.9091379244864386
1,phishing,1,20261302,81907,29002,35574,11858,26773,2229,0.9212171412656233
1,phishing,2,20261303,89326,21583,35574,11858,19168,2415,0.9130396978055212
1,phishing,3,20261304,82872,28037,35574,11858,25546,2491,0.9021104960870172
1,phishing,4,20261305,84813,26096,35574,11858,23754,2342,0.9191840547220165
