estimand,dataset,scenario,model,run_id,cohort,cohort_size,fit_seconds,setup_seconds,explain_seconds,seconds_per_sample
partition,iscx_url2016_binary,s0,lr,r00,internal,200,0.006016099999669677,0.005676400000083959,0.012518500000169297,6.259250000084648e-05
partition,iscx_url2016_binary,s0,lr,r01,internal,200,0.5512702999999419,0.0016937999998845044,0.009697999999843887,4.8489999999219434e-05
partition,iscx_url2016_binary,s0,lr,r02,internal,200,0.6198047999996561,0.003393899999991845,0.01250560000016776,6.25280000008388e-05
partition,iscx_url2016_binary,s0,lr,r03,internal,200,0.5331581000000369,0.005694400000265887,0.016996500000004744,8.498250000002372e-05
partition,iscx_url2016_binary,s0,lr,r04,internal,200,0.614696599999661,0.0033552999998391897,0.009426400000393187,4.713200000196593e-05
partition,iscx_url2016_binary,s0,lr,r05,internal,200,0.6527068000000327,0.0029262999996717554,0.01134749999982887,5.6737499999144344e-05
partition,iscx_url2016_binary,s0,lr,r06,internal,200,0.3887531000000308,0.00203479999981937,0.008980499999779568,4.490249999889784e-05
partition,iscx_url2016_binary,s0,lr,r07,internal,200,0.40634399999999005,0.0028836999999839463,0.009283700000196404,4.641850000098202e-05
partition,iscx_url2016_binary,s0,lr,r08,internal,200,0.5529615999998896,0.002263200000015786,0.00971590000017386,4.8579500000869304e-05
partition,iscx_url2016_binary,s0,lr,r09,internal,200,0.4208002000000306,0.0014271999998527463,0.010375400000157242,5.1877000000786214e-05
partition,iscx_url2016_binary,s0,rf,r00,internal,200,0.10779210000009698,0.02823709999984203,4.273344799999904,0.02136672399999952
partition,iscx_url2016_binary,s0,rf,r01,internal,200,3.097826400000031,0.049144499999783875,4.270686899999873,0.021353434499999366
partition,iscx_url2016_binary,s0,rf,r02,internal,200,2.78144519999978,0.0393659999999727,5.452412900000127,0.027262064500000634
partition,iscx_url2016_binary,s0,rf,r03,internal,200,3.0833145999999942,0.04287759999988339,4.509623699999793,0.022548118499998965
partition,iscx_url2016_binary,s0,rf,r04,internal,200,2.8822041000003082,0.03692030000001978,5.813799999999901,0.029068999999999505
partition,iscx_url2016_binary,s0,rf,r05,internal,200,2.811917900000026,0.016723299999739538,5.2566876000000775,0.026283438000000388
partition,iscx_url2016_binary,s0,rf,r06,internal,200,2.6829630000002,0.03878690000010465,5.019056600000113,0.025095283000000565
partition,iscx_url2016_binary,s0,rf,r07,internal,200,2.917258199999651,0.04383840000036798,5.373071600000003,0.026865358000000016
partition,iscx_url2016_binary,s0,rf,r08,internal,200,3.455467100000078,0.046468000000004395,5.6222483999999895,0.028111241999999946
partition,iscx_url2016_binary,s0,rf,r09,internal,200,3.877021899999818,0.01583459999983461,4.816779100000076,0.024083895500000382
partition,iscx_url2016_binary,s0,xgb,r00,internal,200,0.03846560000010868,0.08385490000000573,0.0507050999999592,0.000253525499999796
partition,iscx_url2016_binary,s0,xgb,r01,internal,200,8.630754600000273,0.08169429999998101,0.06003980000014053,0.00030019900000070263
partition,iscx_url2016_binary,s0,xgb,r02,internal,200,8.966013499999917,0.08877589999974589,0.07295870000007199,0.00036479350000035994
partition,iscx_url2016_binary,s0,xgb,r03,internal,200,8.212779600000431,0.09902550000015253,0.06316340000012133,0.00031581700000060664
partition,iscx_url2016_binary,s0,xgb,r04,internal,200,5.942299299999831,0.1137260000000424,0.055041500000243104,0.00027520750000121553
partition,iscx_url2016_binary,s0,xgb,r05,internal,200,4.970397500000217,0.08542089999991731,0.03918149999981324,0.0001959074999990662
partition,iscx_url2016_binary,s0,xgb,r06,internal,200,5.244318400000338,0.049966200000199024,0.049258500000178174,0.00024629250000089085
partition,iscx_url2016_binary,s0,xgb,r07,internal,200,0.36505010000018956,0.03664240000034624,0.023831299999983457,0.00011915649999991729
partition,iscx_url2016_binary,s0,xgb,r08,internal,200,0.7511386999999559,0.040994899999986956,0.03531820000034713,0.00017659100000173568
partition,iscx_url2016_binary,s0,xgb,r09,internal,200,0.578780899999856,0.04079879999972036,0.03256869999995615,0.00016284349999978075
partition,iscx_url2016_binary,s1,lr,r00,internal,200,0.002694599999813363,0.0022112000001470733,0.005796299999929033,2.8981499999645165e-05
partition,iscx_url2016_binary,s1,lr,r01,internal,200,0.14624319999984436,0.0011236999998800457,0.008663000000069587,4.3315000000347935e-05
partition,iscx_url2016_binary,s1,lr,r02,internal,200,0.14887369999996736,0.0007883000002948393,0.005856799999946816,2.928399999973408e-05
partition,iscx_url2016_binary,s1,lr,r03,internal,200,0.10837740000033591,0.0008636000002297806,0.005311200000051031,2.6556000000255155e-05
partition,iscx_url2016_binary,s1,lr,r04,internal,200,0.1036178999997901,0.0006899999998495332,0.0051562999997258885,2.5781499998629444e-05
partition,iscx_url2016_binary,s1,lr,r05,internal,200,0.09990119999974922,0.0007771000000502681,0.005259500000192929,2.6297500000964645e-05
partition,iscx_url2016_binary,s1,lr,r06,internal,200,0.10288350000018909,0.000759600000037608,0.005634000000100059,2.8170000000500295e-05
partition,iscx_url2016_binary,s1,lr,r07,internal,200,0.09753670000009151,0.0007652999997844745,0.005123599999933504,2.5617999999667517e-05
partition,iscx_url2016_binary,s1,lr,r08,internal,200,0.10644379999985176,0.0007286999998541432,0.0047144999998636195,2.3572499999318096e-05
partition,iscx_url2016_binary,s1,lr,r09,internal,200,0.110040200000185,0.001152400000137277,0.005213900000399008,2.606950000199504e-05
partition,iscx_url2016_binary,s1,rf,r00,internal,200,0.082572600000276,0.011617200000273442,4.116522599999826,0.02058261299999913
partition,iscx_url2016_binary,s1,rf,r01,internal,200,1.4151357000000644,0.014294500000232802,4.127787999999782,0.020638939999998912
partition,iscx_url2016_binary,s1,rf,r02,internal,200,1.4166156999999657,0.015121299999918847,3.7898497000001043,0.018949248500000522
partition,iscx_url2016_binary,s1,rf,r03,internal,200,1.358706500000153,0.01276689999986047,4.133500500000082,0.02066750250000041
partition,iscx_url2016_binary,s1,rf,r04,internal,200,1.4039357999999993,0.013545900000281108,4.1072149999999965,0.020536074999999984
partition,iscx_url2016_binary,s1,rf,r05,internal,200,1.358046700000159,0.010863999999855878,4.069152199999735,0.020345760999998675
partition,iscx_url2016_binary,s1,rf,r06,internal,200,1.3741617000000588,0.010451699999975972,3.9578933000002507,0.019789466500001254
partition,iscx_url2016_binary,s1,rf,r07,internal,200,1.40109399999983,0.012495299999955023,4.048876899999868,0.02024438449999934
partition,iscx_url2016_binary,s1,rf,r08,internal,200,1.4331037000001743,0.011753199999930075,3.961803400000008,0.01980901700000004
partition,iscx_url2016_binary,s1,rf,r09,internal,200,1.496055499999784,0.01862970000001951,3.921596700000009,0.019607983500000047
partition,iscx_url2016_binary,s1,xgb,r00,internal,200,0.007242199999836885,0.03860769999982949,0.024139499999819236,0.00012069749999909618
partition,iscx_url2016_binary,s1,xgb,r01,internal,200,0.3736860999997589,0.04332559999966179,0.03134959999988496,0.0001567479999994248
partition,iscx_url2016_binary,s1,xgb,r02,internal,200,0.6117463000000498,0.042562599999655504,0.02494059999980891,0.00012470299999904456
partition,iscx_url2016_binary,s1,xgb,r03,internal,200,0.3770748000001731,0.04497739999987971,0.03031329999976151,0.00015156649999880755
