source_dataset,repetition,model,fpr_budget,holdout_index,threshold_selector,threshold,calibration_n,calibration_n_benign,audit_budget_exceeded,n_samples,n_benign,n_phishing,accuracy,balanced_accuracy,precision,recall,macro_f1,roc_auc,pr_auc,fpr,tn,fp,fn,tp,fpr_wilson_upper_95,fpr_clopper_pearson_upper_95,alerts_per_10000_benign
phiusiil,r00,lr,0.001,0,full_validation,0.9994958121004157,15957,9865,True,19717,10262,9455,0.921793376274281,0.9185099056233813,0.9983625141705504,0.8382866208355367,0.9206925192929034,0.9908438828654355,0.9945380690655983,0.001266809588774118,10249,13,1529,7926,0.0019905139688260734,0.0020133352348239296,12.668095887741181
phiusiil,r00,lr,0.001,0,calibration_only,0.9990783123183637,15957,9865,True,19717,10262,9455,0.9445656032865041,0.9422830667809576,0.9976196143775291,0.8865150713907985,0.9440678597218183,0.9908438828654355,0.9945380690655983,0.0019489378288832587,10242,20,1073,8382,0.0028081741458062257,0.0028307527760786516,19.489378288832587
phiusiil,r00,lr,0.001,1,full_validation,0.9994958121004157,14180,9936,True,21494,10191,11303,0.924816227784498,0.9284614582521351,0.998867030590174,0.8580023002742635,0.9247784007626894,0.991779765915411,0.9956176649634392,0.0010793837699931313,10180,11,1605,9698,0.0017629013990238757,0.0017859950566580013,10.793837699931313
phiusiil,r00,lr,0.001,1,calibration_only,0.9995403491201426,14180,9936,True,21494,10191,11303,0.9235600632734716,0.9272670850768719,0.9988638711010122,0.8556135539237371,0.923517172388096,0.991779765915411,0.9956176649634392,0.0010793837699931313,10180,11,1632,9671,0.0017629013990238757,0.0017859950566580013,10.793837699931313
phiusiil,r00,lr,0.001,2,full_validation,0.9994958121004157,14332,9833,False,21342,10294,11048,0.9359478961671821,0.9381037645292134,0.9990720692854933,0.8770818247646633,0.9358980726034325,0.990700742486607,0.995056025049472,0.0008742957062366427,10285,9,1358,9690,0.001502161919418135,0.0015251701536652766,8.742957062366427
phiusiil,r00,lr,0.001,2,calibration_only,0.9996242787528391,14332,9833,False,21342,10294,11048,0.933558241964202,0.9357956544640431,0.9990671641791045,0.872465604634323,0.9334973115672821,0.990700742486607,0.995056025049472,0.0008742957062366427,10285,9,1409,9639,0.001502161919418135,0.0015251701536652766,8.742957062366427
phiusiil,r00,lr,0.001,3,full_validation,0.9994958121004157,18910,9920,True,16764,10207,6557,0.9698162729658792,0.9617425021141224,0.9980246913580247,0.9246606679884093,0.967863920551806,0.9959331169184042,0.9968770755324714,0.001175663760164593,10195,12,494,6063,0.001881134999913322,0.0019041325317820195,11.756637601645929
phiusiil,r00,lr,0.001,3,calibration_only,0.999473270534843,18910,9920,True,16764,10207,6557,0.9696969696969697,0.9616717985287289,0.9975324888962,0.9248131767576636,0.9677409383836086,0.9959331169184042,0.9968770755324714,0.0014695797002057412,10192,15,493,6064,0.002239117330792403,0.002261973911095273,14.695797002057413
phiusiil,r00,lr,0.001,4,full_validation,0.9994958121004157,12247,10183,True,23427,9944,13483,0.9288001024458957,0.9380123514793427,0.9991550485847064,0.8770303344952903,0.9283331550170685,0.992545207101771,0.9965891122226728,0.001005631536604988,9934,10,1658,11825,0.0016814367542790354,0.001705177120285726,10.05631536604988
phiusiil,r00,lr,0.001,4,calibration_only,0.9995079864180221,12247,10183,True,23427,9944,13483,0.9284159303367909,0.9376785978636786,0.9991544055470996,0.876362827263962,0.9279509504804213,0.992545207101771,0.9965891122226728,0.001005631536604988,9934,10,1667,11816,0.0016814367542790354,0.001705177120285726,10.05631536604988
