source_dataset,target_dataset,model,feature_set,repetitions,auc_mean,auc_std,auc_min,auc_max,inverted_auc_mean,below_chance_runs,strong_reversal_runs,max_auc_identity_error
iscx_url2016_binary,phiusiil,lr,f_all,10,0.3991783451815981,0.03735844025436709,0.3610150673800047,0.4412588495294436,0.6008216548184018,10,0,2.220446049250313e-16
iscx_url2016_binary,phiusiil,lr,f_mi,10,0.507708211756298,0.0049681439918178175,0.4987374377451973,0.5136779786174405,0.492291788243702,1,0,1.1102230246251565e-16
iscx_url2016_binary,phiusiil,lr,f_permutation,10,0.4257277940778203,0.08892061096696223,0.3519525600817648,0.5815450307020177,0.5742722059221796,8,0,2.220446049250313e-16
iscx_url2016_binary,phiusiil,lr,f_single,10,0.3626014529696774,0.02075030137503471,0.3387550224481024,0.3945838607698234,0.6373985470303225,10,0,1.1102230246251565e-16
iscx_url2016_binary,phiusiil,lr,f_stable,10,0.3599461989569834,0.013443114058840444,0.3369442857721144,0.3852335320264513,0.6400538010430166,10,0,1.1102230246251565e-16
iscx_url2016_binary,phiusiil,rf,f_all,10,0.3881679584345178,0.0370914997002315,0.3293754724184268,0.4622304365234186,0.6118320415654823,10,0,2.220446049250313e-16
iscx_url2016_binary,phiusiil,rf,f_mi,10,0.4002567854963175,0.020726683697946353,0.3724575848142869,0.4259230214555309,0.5997432145036825,10,0,2.220446049250313e-16
iscx_url2016_binary,phiusiil,rf,f_permutation,10,0.41596212556989637,0.025094526322023063,0.3806494727007762,0.4697241350569823,0.5840378744301036,10,0,2.220446049250313e-16
iscx_url2016_binary,phiusiil,rf,f_single,10,0.39730599240628983,0.02819317950009115,0.3522400578383588,0.4418652393346702,0.6026940075937101,10,0,2.220446049250313e-16
iscx_url2016_binary,phiusiil,rf,f_stable,10,0.42522410980856834,0.026384267915162504,0.3851701813565447,0.4699758043294172,0.5747758901914316,10,0,2.220446049250313e-16
iscx_url2016_binary,phiusiil,xgb,f_all,10,0.4121257782944034,0.05044398749768621,0.3494462750977372,0.4989371224152478,0.5878742217055966,10,0,3.3306690738754696e-16
iscx_url2016_binary,phiusiil,xgb,f_mi,10,0.298475359831032,0.0317600875992018,0.2491504460964161,0.3330383385451653,0.701524640168968,10,0,2.220446049250313e-16
iscx_url2016_binary,phiusiil,xgb,f_permutation,10,0.5054134396814771,0.04030396646019993,0.4085657435918419,0.5564453516424402,0.494586560318523,4,0,1.1102230246251565e-16
iscx_url2016_binary,phiusiil,xgb,f_single,10,0.41429652959835506,0.04777021774013304,0.3453244308712643,0.4896854696731677,0.5857034704016449,10,0,1.1102230246251565e-16
iscx_url2016_binary,phiusiil,xgb,f_stable,10,0.41863406588877156,0.05603251515853408,0.3218939782647847,0.4908181744427887,0.5813659341112285,10,0,2.220446049250313e-16
phiusiil,iscx_url2016_binary,lr,f_all,10,0.5506175940643595,0.0033600928147396116,0.5429465395764651,0.5547280893886213,0.4493790350292535,0,0,5.092890672520056e-06
phiusiil,iscx_url2016_binary,lr,f_mi,10,0.46682076558245883,0.0020790028236854284,0.4639740450135824,0.4700499456838068,0.5331792344175411,10,0,3.3306690738754696e-16
phiusiil,iscx_url2016_binary,lr,f_permutation,10,0.554781097966292,0.01764163367903142,0.5277108341171791,0.5827211835463633,0.4452186202760223,0,0,1.1854682260281635e-06
phiusiil,iscx_url2016_binary,lr,f_single,10,0.5442843861955093,0.022771466086658844,0.5236257172719796,0.5786575105939724,0.4557156575179418,0,0,8.841988572427795e-07
phiusiil,iscx_url2016_binary,lr,f_stable,10,0.5237343415692243,0.005157569078592452,0.5097503395949858,0.5271454407454558,0.47626562730498456,0,0,1.1213040540525299e-07
phiusiil,iscx_url2016_binary,rf,f_all,10,0.45297913130329165,0.012688779124366846,0.428978947617707,0.4731403707082184,0.5470208686967083,10,0,2.220446049250313e-16
phiusiil,iscx_url2016_binary,rf,f_mi,10,0.4830819449762648,0.007372984827386043,0.4748473402850986,0.5013005879127372,0.5169180550237352,9,0,1.1102230246251565e-16
phiusiil,iscx_url2016_binary,rf,f_permutation,10,0.4409295765673371,0.0376394361652403,0.3764872877506162,0.4886140918592935,0.5590704234326628,10,0,2.220446049250313e-16
phiusiil,iscx_url2016_binary,rf,f_single,10,0.4704186232887636,0.00900978699167222,0.4577499169925895,0.4844353138156514,0.5295813767112364,10,0,1.1102230246251565e-16
phiusiil,iscx_url2016_binary,rf,f_stable,10,0.45997178564601515,0.005580898493039843,0.4526375475151548,0.4697947595419666,0.5400282143539848,10,0,2.220446049250313e-16
phiusiil,iscx_url2016_binary,xgb,f_all,10,0.07636791698545238,0.012214454501520571,0.0591954117509663,0.0983882023820679,0.9236320830145475,10,10,2.220446049250313e-16
phiusiil,iscx_url2016_binary,xgb,f_mi,10,0.25551682248293833,0.03337192824597715,0.1861390434743092,0.2890557591929856,0.7444831775170616,10,1,2.220446049250313e-16
phiusiil,iscx_url2016_binary,xgb,f_permutation,10,0.07745741267541753,0.024508327481424067,0.0486262021455552,0.1212780576350925,0.9225425873245824,10,10,2.220446049250313e-16
phiusiil,iscx_url2016_binary,xgb,f_single,10,0.0744902390359985,0.00882881333476876,0.0614400973029064,0.0900096735262478,0.9255097609640016,10,10,2.220446049250313e-16
phiusiil,iscx_url2016_binary,xgb,f_stable,10,0.07758085608768164,0.019695565314536825,0.0464013714727994,0.1105002159812563,0.9224191439123184,10,10,2.220446049250313e-16
